species_id	pangenome_size	covered_genes	fraction_covered	mean_coverage	marker_coverage	aligned_reads	mapped_reads
Streptococcus_mitis_60474	1891	1789	0.946060285563	11.931772134767439	12.73157894736841	281682	203171
Haemophilus_parainfluenzae_57123	2643	2450	0.926976920166	13.301205458563203	14.268145161290278	439811	321664
Streptococcus_mitis_60170	1958	1852	0.945863125638	10.958034136400814	10.808553971486775	275503	178387
Haemophilus_parahaemolyticus_60505	2096	1949	0.929866412214	5.904150645149209	6.315734989648028	139241	104535
Gemella_haemolysans_61762	1713	1546	0.902510215995	9.847244019752992	10.544742729306488	267598	152389
Haemophilus_paraphrohaemolyticus_58563	2024	1862	0.919960474308	6.954709337914807	4.480751173708919	165613	122484
Haemophilus_parainfluenzae_62356	2024	1907	0.942193675889	14.36039766068454	12.013266998341626	365708	250117
Haemophilus_haemolyticus_58348	1818	1611	0.886138613861	13.852135998682474	13.63409337676438	298755	208793
Haemophilus_parainfluenzae_62468	2007	1903	0.948181365222	14.24801909021674	14.47647849462361	364442	271324
Streptococcus_mitis_58556	1881	1768	0.939925571505	10.639034770064411	8.3988603988604	263435	172867
Streptococcus_mitis_58288	3235	3119	0.964142194745	12.701793705876083	16.55028248587572	531275	380532
