Recombination percentile,Remaining sites
0.0,98509
0.01,98509
0.02,98509
0.03,98509
0.04,98509
0.05,97353
0.06,97353
0.07,96887
0.08,96881
0.09,96881
0.1,94713
0.11,94272
0.12,94272
0.13,94272
0.14,93945
0.15,93945
0.16,93896
0.17,93607
0.18,92853
0.19,92649
0.2,92348
0.21,90296
0.22,90296
0.23,90287
0.24,89985
0.25,84465
0.26,84465
0.27,84465
0.28,82517
0.29,81474
0.3,81035
0.31,80950
0.32,79838
0.33,79769
0.34,77652
0.35000000000000003,77652
0.36,77615
0.37,74831
0.38,74035
0.39,73728
0.4,69349
0.41000000000000003,69211
0.42,68899
0.43,67486
0.44,66756
0.45,66178
0.46,62661
0.47000000000000003,61733
0.48,60842
0.49,59530
0.5,58477
0.51,57366
0.52,55917
0.53,54856
0.54,53987
0.55,53021
0.56,51753
0.5700000000000001,50633
0.58,49529
0.59,48252
0.6,47455
0.61,45981
0.62,44956
0.63,44804
0.64,42871
0.65,42865
0.66,41516
0.67,41016
0.68,39872
0.6900000000000001,37691
0.7000000000000001,37193
0.71,36226
0.72,36214
0.73,34894
0.74,31249
0.75,30897
0.76,30003
0.77,27936
0.78,26868
0.79,25996
0.8,24677
0.81,23479
0.8200000000000001,22250
0.8300000000000001,21288
0.84,20748
0.85,19765
0.86,18041
0.87,17069
0.88,15542
0.89,14209
0.9,13315
0.91,12106
0.92,11207
0.93,9862
0.9400000000000001,8790
0.9500000000000001,7532
0.96,6513
0.97,5352
0.98,4246
0.99,3119
1.0,0
