Recombination percentile,Remaining sites
0.0,586616
0.01,581857
0.02,575434
0.03,564239
0.04,564239
0.05,560711
0.06,552684
0.07,550699
0.08,545134
0.09,541751
0.1,535101
0.11,534130
0.12,527888
0.13,519759
0.14,517916
0.15,517098
0.16,516684
0.17,507612
0.18,503215
0.19,498334
0.2,494561
0.21,484797
0.22,479938
0.23,474717
0.24,465516
0.25,456392
0.26,452904
0.27,450043
0.28,444693
0.29,438192
0.3,431620
0.31,422040
0.32,417405
0.33,415017
0.34,405939
0.35000000000000003,401244
0.36,397666
0.37,389749
0.38,382799
0.39,374307
0.4,369522
0.41000000000000003,361614
0.42,355413
0.43,353569
0.44,352894
0.45,344607
0.46,340758
0.47000000000000003,333606
0.48,329472
0.49,325456
0.5,318308
0.51,313000
0.52,309990
0.53,305955
0.54,297544
0.55,290057
0.56,283386
0.5700000000000001,276417
0.58,269261
0.59,263634
0.6,252422
0.61,247868
0.62,242817
0.63,238015
0.64,233701
0.65,230957
0.66,223033
0.67,216447
0.68,210284
0.6900000000000001,206156
0.7000000000000001,199585
0.71,191314
0.72,188604
0.73,182894
0.74,178621
0.75,165969
0.76,151496
0.77,149477
0.78,140472
0.79,132340
0.8,128808
0.81,122163
0.8200000000000001,118775
0.8300000000000001,114697
0.84,106635
0.85,100143
0.86,96149
0.87,85532
0.88,84338
0.89,76678
0.9,68796
0.91,61086
0.92,54490
0.93,46376
0.9400000000000001,40302
0.9500000000000001,32944
0.96,26864
0.97,20482
0.98,16860
0.99,10989
1.0,0
