Recombination percentile,Remaining sites
0.0,939439
0.01,939439
0.02,939439
0.03,939439
0.04,939439
0.05,939439
0.06,939439
0.07,939439
0.08,939439
0.09,939439
0.1,939439
0.11,939439
0.12,939439
0.13,939439
0.14,939439
0.15,939439
0.16,939439
0.17,939439
0.18,939439
0.19,939439
0.2,939439
0.21,939439
0.22,939439
0.23,939439
0.24,939439
0.25,939439
0.26,763674
0.27,763674
0.28,763674
0.29,763674
0.3,763674
0.31,763674
0.32,763674
0.33,763674
0.34,763674
0.35000000000000003,763674
0.36,763674
0.37,763674
0.38,763674
0.39,763674
0.4,763674
0.41000000000000003,605076
0.42,605076
0.43,605076
0.44,605076
0.45,605076
0.46,605076
0.47000000000000003,605076
0.48,605076
0.49,605076
0.5,605076
0.51,605076
0.52,605076
0.53,604233
0.54,556663
0.55,556663
0.56,556663
0.5700000000000001,523620
0.58,523620
0.59,489567
0.6,489567
0.61,489567
0.62,489567
0.63,442777
0.64,442777
0.65,442777
0.66,422329
0.67,422329
0.68,386165
0.6900000000000001,386165
0.7000000000000001,386165
0.71,361422
0.72,361422
0.73,328981
0.74,328981
0.75,321426
0.76,305842
0.77,305842
0.78,286758
0.79,252852
0.8,252852
0.81,252852
0.8200000000000001,236480
0.8300000000000001,236480
0.84,198730
0.85,220385
0.86,187238
0.87,166325
0.88,162036
0.89,146726
0.9,141473
0.91,128749
0.92,110715
0.93,100978
0.9400000000000001,95530
0.9500000000000001,70382
0.96,57701
0.97,40633
0.98,30595
0.99,19450
1.0,0
