Recombination percentile,Remaining sites
0.0,1997721
0.01,1997721
0.02,1997721
0.03,1997721
0.04,1997721
0.05,1997721
0.06,1894346
0.07,1894346
0.08,1894346
0.09,1894346
0.1,1894346
0.11,1771100
0.12,1771100
0.13,1771100
0.14,1771100
0.15,1771100
0.16,1771100
0.17,1606871
0.18,1771100
0.19,1606871
0.2,1771100
0.21,1771100
0.22,1606871
0.23,1606871
0.24,1606871
0.25,1606871
0.26,1496710
0.27,1496710
0.28,1496710
0.29,1496710
0.3,1496710
0.31,1423622
0.32,1423622
0.33,1423622
0.34,1423622
0.35000000000000003,1367137
0.36,1367137
0.37,1367137
0.38,1316567
0.39,1316567
0.4,1260959
0.41000000000000003,1260959
0.42,1260959
0.43,1260959
0.44,1197061
0.45,1197061
0.46,1197061
0.47000000000000003,1131935
0.48,1131935
0.49,1081511
0.5,1081511
0.51,1081511
0.52,1015612
0.53,1015612
0.54,1015612
0.55,959535
0.56,959535
0.5700000000000001,917246
0.58,917246
0.59,917246
0.6,871035
0.61,871035
0.62,835081
0.63,835035
0.64,779032
0.65,779032
0.66,742296
0.67,742296
0.68,704475
0.6900000000000001,704475
0.7000000000000001,661524
0.71,628729
0.72,628729
0.73,599067
0.74,599067
0.75,552745
0.76,552745
0.77,529924
0.78,487085
0.79,487085
0.8,452911
0.81,417027
0.8200000000000001,417027
0.8300000000000001,386249
0.84,386249
0.85,350666
0.86,325874
0.87,309676
0.88,286800
0.89,263187
0.9,229146
0.91,206545
0.92,195646
0.93,177674
0.9400000000000001,146297
0.9500000000000001,123572
0.96,96294
0.97,77454
0.98,56285
0.99,40241
1.0,0
