Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	5	G	4	751585.3.peg.2409.site.1
-A-	---	A	8	G	1	751585.3.peg.2409.site.2
-A-	---	A	7	G	2	751585.3.peg.2409.site.3
-A-	---	A	2	G	7	751585.3.peg.2409.site.4
-A-	---	A	8	G	1	751585.3.peg.2409.site.5
-A-	---	A	2	G	7	751585.3.peg.2409.site.6
-A-	---	A	8	G	1	751585.3.peg.2409.site.7
-A-	---	A	8	G	1	751585.3.peg.2409.site.8
-A-	---	A	8	G	1	751585.3.peg.2409.site.9
-A-	---	A	8	G	1	751585.3.peg.2409.site.10
-A-	---	A	8	G	1	751585.3.peg.2409.site.11
-A-	---	A	8	G	1	751585.3.peg.2409.site.12
-A-	---	A	6	G	3	751585.3.peg.2409.site.13
-A-	---	A	3	G	6	751585.3.peg.2409.site.14
-A-	---	A	7	G	2	751585.3.peg.2409.site.15
-A-	---	A	1	G	8	751585.3.peg.2408.site.1
-A-	---	A	6	G	3	751585.3.peg.2408.site.2
-A-	---	A	7	G	2	751585.3.peg.2403.site.1
-A-	---	A	3	G	1	751585.3.peg.2403.site.2
-A-	---	A	0	G	4	751585.3.peg.2403.site.3
-A-	---	A	8	G	0	751585.3.peg.2402.site.1
-A-	---	A	0	G	0	751585.3.peg.2402.site.2
-A-	---	A	1	G	0	751585.3.peg.2402.site.3
-A-	---	A	1	G	7	751585.3.peg.2404.site.1
-A-	---	A	5	G	3	751585.3.peg.2404.site.2
-A-	---	A	7	G	1	751585.3.peg.2404.site.3
-A-	---	A	0	G	8	751585.3.peg.2404.site.4
-A-	---	A	5	G	3	751585.3.peg.2404.site.5
-A-	---	A	5	G	3	751585.3.peg.2404.site.6
-A-	---	A	2	G	7	751585.3.peg.2404.site.7
-A-	---	A	9	G	0	751585.3.peg.2404.site.8
-A-	---	A	8	G	1	751585.3.peg.2404.site.9
-A-	---	A	8	G	1	751585.3.peg.2404.site.10
-A-	---	A	8	G	1	751585.3.peg.2404.site.11
-A-	---	A	0	G	9	751585.3.peg.2404.site.12
-A-	---	A	5	G	4	751585.3.peg.2404.site.13
-A-	---	A	7	G	2	751585.3.peg.2404.site.14
-A-	---	A	7	G	2	751585.3.peg.2404.site.15
-A-	---	A	8	G	1	751585.3.peg.2404.site.16
-A-	---	A	8	G	1	751585.3.peg.2404.site.17
-A-	---	A	3	G	6	751585.3.peg.2404.site.18
-A-	---	A	7	G	2	751585.3.peg.2404.site.19
-A-	---	A	7	G	2	751585.3.peg.2404.site.20
-A-	---	A	0	G	9	751585.3.peg.2404.site.21
-A-	---	A	7	G	2	751585.3.peg.2404.site.22
-A-	---	A	8	G	1	751585.3.peg.2404.site.23
-A-	---	A	7	G	2	751585.3.peg.2407.site.1
-A-	---	A	6	G	3	751585.3.peg.2407.site.2
-A-	---	A	8	G	1	751585.3.peg.2407.site.3
-A-	---	A	8	G	1	751585.3.peg.2407.site.4
-A-	---	A	0	G	9	751585.3.peg.2407.site.5
-A-	---	A	4	G	1	751585.3.peg.2407.site.6
-A-	---	A	4	G	1	751585.3.peg.2407.site.7
-A-	---	A	4	G	5	751585.3.peg.169.site.1
-A-	---	A	9	G	0	751585.3.peg.1056.site.1
-A-	---	A	8	G	1	751585.3.peg.1055.site.1
-A-	---	A	0	G	9	751585.3.peg.1055.site.2
-A-	---	A	7	G	2	751585.3.peg.1055.site.3
-A-	---	A	8	G	1	751585.3.peg.1054.site.1
-A-	---	A	8	G	1	751585.3.peg.1054.site.2
-A-	---	A	1	G	8	751585.3.peg.1053.site.1
-A-	---	A	8	G	1	751585.3.peg.1053.site.2
-A-	---	A	9	G	0	751585.3.peg.1052.site.1
-A-	---	A	0	G	9	751585.3.peg.1052.site.2
-A-	---	A	7	G	2	751585.3.peg.1052.site.3
-A-	---	A	8	G	1	751585.3.peg.1052.site.4
-A-	---	A	9	G	0	751585.3.peg.1052.site.5
-A-	---	A	8	G	1	751585.3.peg.1051.site.1
-A-	---	A	8	G	1	751585.3.peg.1051.site.2
-A-	---	A	9	G	0	751585.3.peg.1051.site.3
-A-	---	A	8	G	0	751585.3.peg.1051.site.4
-A-	---	A	9	G	0	751585.3.peg.1050.site.1
-A-	---	A	9	G	0	751585.3.peg.1050.site.2
-A-	---	A	1	G	8	751585.3.peg.1839.site.1
-A-	---	A	8	G	1	751585.3.peg.1839.site.2
-A-	---	A	9	G	0	751585.3.peg.1838.site.1
-A-	---	A	9	G	0	751585.3.peg.1838.site.2
-A-	---	A	9	G	0	751585.3.peg.1838.site.3
-A-	---	A	8	G	1	751585.3.peg.1838.site.4
-A-	---	A	9	G	0	751585.3.peg.1835.site.1
-A-	---	A	6	G	3	751585.3.peg.1835.site.2
-A-	---	A	7	G	2	751585.3.peg.1837.site.1
-A-	---	A	7	G	1	751585.3.peg.1837.site.2
-A-	---	A	9	G	0	751585.3.peg.1837.site.3
-A-	---	A	8	G	1	751585.3.peg.1837.site.4
-A-	---	A	6	G	3	751585.3.peg.1837.site.5
-A-	---	A	0	G	9	751585.3.peg.1837.site.6
-A-	---	A	8	G	1	751585.3.peg.1830.site.1
-A-	---	A	7	G	2	751585.3.peg.1830.site.2
-A-	---	A	8	G	1	751585.3.peg.1830.site.3
-A-	---	A	8	G	1	751585.3.peg.1830.site.4
-A-	---	A	7	G	2	751585.3.peg.1830.site.5
-A-	---	A	8	G	1	751585.3.peg.1830.site.6
-A-	---	A	8	G	1	751585.3.peg.1830.site.7
-A-	---	A	4	G	5	751585.3.peg.1830.site.8
-A-	---	A	8	G	1	751585.3.peg.1830.site.9
-A-	---	A	8	G	1	751585.3.peg.1833.site.1
-A-	---	A	9	G	0	751585.3.peg.334.site.1
-A-	---	A	9	G	0	751585.3.peg.334.site.2
-A-	---	A	6	G	3	751585.3.peg.334.site.3
-A-	---	A	6	G	3	751585.3.peg.335.site.1
-A-	---	A	5	G	1	751585.3.peg.335.site.2
-A-	---	A	9	G	0	751585.3.peg.336.site.1
-A-	---	A	8	G	0	751585.3.peg.336.site.2
-A-	---	A	9	G	0	751585.3.peg.336.site.3
-A-	---	A	6	G	3	751585.3.peg.336.site.4
-A-	---	A	6	G	3	751585.3.peg.336.site.5
-A-	---	A	8	G	1	751585.3.peg.336.site.6
-A-	---	A	9	G	0	751585.3.peg.336.site.7
-A-	---	A	9	G	0	751585.3.peg.337.site.1
-A-	---	A	8	G	0	751585.3.peg.337.site.2
-A-	---	A	7	G	2	751585.3.peg.330.site.1
-A-	---	A	8	G	1	751585.3.peg.330.site.2
-A-	---	A	4	G	5	751585.3.peg.330.site.3
-A-	---	A	6	G	3	751585.3.peg.330.site.4
-A-	---	A	8	G	1	751585.3.peg.330.site.5
-A-	---	A	8	G	1	751585.3.peg.330.site.6
-A-	---	A	8	G	0	751585.3.peg.332.site.1
-A-	---	A	9	G	0	751585.3.peg.338.site.1
-A-	---	A	7	G	2	751585.3.peg.338.site.2
-A-	---	A	8	G	1	751585.3.peg.339.site.1
-A-	---	A	7	G	2	751585.3.peg.1941.site.1
-A-	---	A	9	G	0	751585.3.peg.1941.site.2
-A-	---	A	1	G	8	751585.3.peg.1941.site.3
-A-	---	A	8	G	1	751585.3.peg.1232.site.1
-A-	---	A	6	G	3	751585.3.peg.1232.site.2
-A-	---	A	6	G	3	751585.3.peg.1232.site.3
-A-	---	A	8	G	1	751585.3.peg.1231.site.1
-A-	---	A	6	G	3	751585.3.peg.1231.site.2
-A-	---	A	8	G	1	751585.3.peg.1230.site.1
-A-	---	A	6	G	3	751585.3.peg.1230.site.2
-A-	---	A	8	G	1	751585.3.peg.1230.site.3
-A-	---	A	8	G	1	751585.3.peg.1230.site.4
-A-	---	A	8	G	1	751585.3.peg.1230.site.5
-A-	---	A	8	G	1	751585.3.peg.1230.site.6
-A-	---	A	0	G	9	751585.3.peg.1230.site.7
-A-	---	A	4	G	5	751585.3.peg.1230.site.8
-A-	---	A	4	G	5	751585.3.peg.1230.site.9
-A-	---	A	8	G	1	751585.3.peg.1230.site.10
-A-	---	A	8	G	1	751585.3.peg.1230.site.11
-A-	---	A	4	G	5	751585.3.peg.1230.site.12
-A-	---	A	5	G	4	751585.3.peg.1230.site.13
-A-	---	A	3	G	6	751585.3.peg.1230.site.14
-A-	---	A	8	G	1	751585.3.peg.1230.site.15
-A-	---	A	8	G	1	751585.3.peg.1237.site.1
-A-	---	A	3	G	6	751585.3.peg.1237.site.2
-A-	---	A	0	G	9	751585.3.peg.1237.site.3
-A-	---	A	0	G	9	751585.3.peg.1237.site.4
-A-	---	A	7	G	1	751585.3.peg.1237.site.5
-A-	---	A	5	G	2	751585.3.peg.1237.site.6
-A-	---	A	8	G	1	751585.3.peg.1236.site.1
-A-	---	A	0	G	8	751585.3.peg.1947.site.1
-A-	---	A	8	G	1	751585.3.peg.1946.site.1
-A-	---	A	8	G	1	751585.3.peg.1946.site.2
-A-	---	A	7	G	2	751585.3.peg.1946.site.3
-A-	---	A	8	G	1	751585.3.peg.1946.site.4
-A-	---	A	9	G	0	751585.3.peg.1946.site.5
-A-	---	A	1	G	7	751585.3.peg.1946.site.6
-A-	---	A	2	G	2	751585.3.peg.1239.site.1
-A-	---	A	7	G	2	751585.3.peg.1239.site.2
-A-	---	A	4	G	5	751585.3.peg.1239.site.3
-A-	---	A	4	G	5	751585.3.peg.1239.site.4
-A-	---	A	3	G	6	751585.3.peg.1239.site.5
-A-	---	A	3	G	6	751585.3.peg.1239.site.6
-A-	---	A	0	G	9	751585.3.peg.1238.site.1
-A-	---	A	0	G	9	751585.3.peg.1238.site.2
-A-	---	A	0	G	9	751585.3.peg.1238.site.3
-A-	---	A	2	G	7	751585.3.peg.1238.site.4
-A-	---	A	8	G	1	751585.3.peg.1238.site.5
-A-	---	A	7	G	2	751585.3.peg.1238.site.6
-A-	---	A	0	G	9	751585.3.peg.1238.site.7
