study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA485056	SAMN09781768	SRX4520307	SRR7658579	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658579/SRR7658579.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658579/SRR7658579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658579/SRR7658579_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658579
PRJNA485056	SAMN09781769	SRX4520306	SRR7658580	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658580/SRR7658580.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658580/SRR7658580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658580/SRR7658580_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658580
PRJNA485056	SAMN09781764	SRX4520305	SRR7658581	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658581/SRR7658581.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658581/SRR7658581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658581/SRR7658581_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658581
PRJNA485056	SAMN09781765	SRX4520304	SRR7658582	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658582/SRR7658582.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658582/SRR7658582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658582/SRR7658582_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658582
PRJNA485056	SAMN09781766	SRX4520303	SRR7658583	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658583/SRR7658583.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658583/SRR7658583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658583/SRR7658583_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658583
PRJNA485056	SAMN09781767	SRX4520302	SRR7658584	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658584/SRR7658584.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658584/SRR7658584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658584/SRR7658584_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658584
PRJNA485056	SAMN09781760	SRX4520301	SRR7658585	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658585/SRR7658585.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658585/SRR7658585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658585/SRR7658585_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658585
PRJNA485056	SAMN09781761	SRX4520300	SRR7658586	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658586/SRR7658586.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658586/SRR7658586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658586/SRR7658586_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658586
PRJNA485056	SAMN09781762	SRX4520299	SRR7658587	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658587/SRR7658587.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658587/SRR7658587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658587/SRR7658587_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658587
PRJNA485056	SAMN09781763	SRX4520298	SRR7658588	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658588/SRR7658588.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658588/SRR7658588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658588/SRR7658588_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658588
PRJNA485056	SAMN09781711	SRX4520297	SRR7658589	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658589/SRR7658589.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658589/SRR7658589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658589/SRR7658589_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658589
PRJNA485056	SAMN09781710	SRX4520296	SRR7658590	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658590/SRR7658590.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658590/SRR7658590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658590/SRR7658590_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658590
PRJNA485056	SAMN09781713	SRX4520295	SRR7658591	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658591/SRR7658591.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658591/SRR7658591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658591/SRR7658591_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658591
PRJNA485056	SAMN09781712	SRX4520294	SRR7658592	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658592/SRR7658592.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658592/SRR7658592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658592/SRR7658592_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658592
PRJNA485056	SAMN09781715	SRX4520293	SRR7658593	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658593/SRR7658593.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658593/SRR7658593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658593/SRR7658593_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658593
PRJNA485056	SAMN09781714	SRX4520292	SRR7658594	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658594/SRR7658594.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658594/SRR7658594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658594/SRR7658594_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658594
PRJNA485056	SAMN09781717	SRX4520291	SRR7658595	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658595/SRR7658595.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658595/SRR7658595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658595/SRR7658595_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658595
PRJNA485056	SAMN09781716	SRX4520290	SRR7658596	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658596/SRR7658596.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658596/SRR7658596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658596/SRR7658596_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658596
PRJNA485056	SAMN09781719	SRX4520289	SRR7658597	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658597/SRR7658597.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658597/SRR7658597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658597/SRR7658597_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658597
PRJNA485056	SAMN09781718	SRX4520288	SRR7658598	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658598/SRR7658598.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658598/SRR7658598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658598/SRR7658598_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658598
