study_accession	sample_accession	run_accession
PRJNA504891	SAMN10407346	SRR8180446
PRJNA504891	SAMN10407345	SRR8180447
PRJNA504891	SAMN10407348	SRR8180448
PRJNA504891	SAMN10407347	SRR8180449
PRJNA504891	SAMN10407349	SRR8180450
PRJNA504891	SAMN11252271	SRR8784353
PRJNA504891	SAMN11252272	SRR8784354
PRJNA504891	SAMN11252287	SRR8784355
PRJNA504891	SAMN11252292	SRR8784356
PRJNA504891	SAMN11252265	SRR8784357
PRJNA504891	SAMN11252266	SRR8784358
PRJNA504891	SAMN11252263	SRR8784359
PRJNA504891	SAMN11252264	SRR8784360
PRJNA504891	SAMN11252269	SRR8784361
PRJNA504891	SAMN11252270	SRR8784362
PRJNA504891	SAMN11252267	SRR8784363
PRJNA504891	SAMN11252268	SRR8784364
PRJNA504891	SAMN11252289	SRR8784365
PRJNA504891	SAMN11252290	SRR8784366
PRJNA504891	SAMN11252283	SRR8784367
PRJNA504891	SAMN11252288	SRR8784368
PRJNA504891	SAMN11252261	SRR8784369
PRJNA504891	SAMN11252284	SRR8784370
PRJNA504891	SAMN11252262	SRR8784371
PRJNA504891	SAMN11252255	SRR8784372
PRJNA504891	SAMN11252256	SRR8784373
PRJNA504891	SAMN11252253	SRR8784374
PRJNA504891	SAMN11252254	SRR8784375
PRJNA504891	SAMN11252259	SRR8784376
PRJNA504891	SAMN11252260	SRR8784377
PRJNA504891	SAMN11252286	SRR8784378
PRJNA504891	SAMN11252258	SRR8784379
PRJNA504891	SAMN11252293	SRR8784380
PRJNA504891	SAMN11252285	SRR8784381
PRJNA504891	SAMN11252297	SRR8784382
PRJNA504891	SAMN11252294	SRR8784383
PRJNA504891	SAMN11252276	SRR8784384
PRJNA504891	SAMN11252275	SRR8784385
PRJNA504891	SAMN11252274	SRR8784386
PRJNA504891	SAMN11252273	SRR8784387
PRJNA504891	SAMN11252280	SRR8784388
PRJNA504891	SAMN11252279	SRR8784389
PRJNA504891	SAMN11252278	SRR8784390
PRJNA504891	SAMN11252277	SRR8784391
PRJNA504891	SAMN11252296	SRR8784392
PRJNA504891	SAMN11252282	SRR8784393
PRJNA504891	SAMN11252281	SRR8784394
PRJNA504891	SAMN11252295	SRR8784395
PRJNA504891	SAMN11252257	SRR8784396
PRJNA504891	SAMN11252291	SRR8784397
