Recombination percentile,Remaining sites
0.0,3126998
0.01,3126998
0.02,3126998
0.03,3126998
0.04,3126998
0.05,3126998
0.06,3126998
0.07,3126998
0.08,3126998
0.09,3126998
0.1,3126998
0.11,3126998
0.12,3126998
0.13,3126998
0.14,3126998
0.15,3126998
0.16,3126998
0.17,3042316
0.18,3042316
0.19,2881046
0.2,2881046
0.21,2881046
0.22,2881046
0.23,2881046
0.24,2742904
0.25,2742904
0.26,2742904
0.27,2742904
0.28,2575797
0.29,2575797
0.3,2575797
0.31,2575797
0.32,2482220
0.33,2482220
0.34,2482220
0.35000000000000003,2333283
0.36,2333283
0.37,2333283
0.38,2333283
0.39,2247822
0.4,2247822
0.41000000000000003,2247822
0.42,2102463
0.43,2102463
0.44,2102463
0.45,2102463
0.46,1981688
0.47000000000000003,1981688
0.48,1981688
0.49,1909069
0.5,1909069
0.51,1770880
0.52,1907477
0.53,1770880
0.54,1770880
0.55,1651952
0.56,1651952
0.5700000000000001,1770880
0.58,1538934
0.59,1538934
0.6,1538934
0.61,1435833
0.62,1435833
0.63,1435833
0.64,1336557
0.65,1336557
0.66,1336557
0.67,1233404
0.68,1233404
0.6900000000000001,1233404
0.7000000000000001,1133966
0.71,1133966
0.72,1058061
0.73,1058061
0.74,959212
0.75,959212
0.76,879315
0.77,879315
0.78,811984
0.79,811984
0.8,773347
0.81,693156
0.8200000000000001,693156
0.8300000000000001,692803
0.84,626707
0.85,584316
0.86,542572
0.87,495621
0.88,495621
0.89,443289
0.9,385598
0.91,385598
0.92,318450
0.93,280014
0.9400000000000001,252000
0.9500000000000001,213425
0.96,169651
0.97,118940
0.98,87925
0.99,46139
1.0,0
