"species","constant_2NAs_LRT","constant_s_LRT"
"Alistipes putredinis",0,0
"Alistipes finegoldii",2.89972004583103,1.5610475504194
"Alistipes onderdonkii",2.81875795219628,1.64505427057793
"Alistipes shahii",6.20953981449509,1.10690591087314
"Bacteroidales bacterium",33.2751445030777,15.0215400332019
"Parabacteroides distasonis",95.1900056064321,12.0331063550491
"Parabacteroides merdae",115.809322124045,11.2626670298559
"Bacteroides cellulosilyticus",1105.94430804267,74.8771673390861
"Bacteroides stercoris",356.845858001281,5.69244631548179
"Bacteroides thetaiotaomicron",241.331578330591,12.8047629760495
"Bacteroides caccae",20.6310796357486,13.0028756942505
"Bacteroides massiliensis",10.0257907833747,4.30603052647626
"Bacteroides vulgatus",26.2654748342748,12.1717963341221
"Dialister invisus",14.8522710211267,2.94642950370684
"Eubacterium eligens",0.977141627905041,0.0464840453304873
"Eubacterium rectale",0.0533706719520524,9.89278339147359
"Eubacterium siraeum",11.2034079252054,0.264112875393494
"Ruminococcus bromii",19.9184961770789,10.3500109394492
