"Species","Nu, MLE","Time in years, MLE","Low estimate of Nu","High estimate of Nu","Low estimate of time in years","High estimate of time in years"
"Alistipes sp.",1.57933341048193,6635.80969980154,1.37919227506024,2.2047744586747,2804.86647305217,20317.749795335
"Alistipes finegoldii",0.0685145646004016,195056.144985727,0.0124133278875502,0.581440157403614,33753.109509929,279214.25045136
"Alistipes onderdonkii",0.542129254453012,11971.2692757004,0.0134508522216867,0.598201206204819,5280.80664739521,40071.2123145821
"Alistipes shahii",402.95360949,927.844237903906,2.02489251,402.95360949,671.889815689292,2764.69362085584
"Alistipes putredinis",60.898225105212,23215.867366651,10.0799870501181,61.1425435574,2910.81790998574,26196.4250850606
"Bacteroidales bacterium",0.727510043351807,31690.8535281587,0.0072327094,0.839553184188755,2454.79401659046,55254.2447762882
"Odoribacter splanchnicus",0.240177549100402,122783.50288074,0.0082009533,1.44805568585422,1002.4950722138,399995.533813305
"Parabacteroides distasonis",0.0766207275180723,513517.260667185,0.0205221654040161,0.597535947148594,90969.9592291843,583941.810906852
"Parabacteroides merdae",0.0942660242369478,364016.521340197,0.0061858825,0.79890715813253,18426.2055036975,445331.889772315
"Prevotella copri",3.02915424923494,47350.386147655,2.8598704385241,3.24680486300602,43379.7457012417,57674.0513083295
"Bacteroides fragilis",2.91420833739759,6557.92985217611,2.42562810809639,4.12402604804819,4673.03478854563,9071.12327035008
"Bacteroides cellulosilyticus",5.00672744649397,107333.682099008,1.93670678989157,5.088052497,17297.5831410142,114584.911545289
"Bacteroides eggerthii",2.94117791094096,488.787806525983,1.03921382337711,5.8763076757,28.7569129863821,1979.92242696469
"Bacteroides stercoris",4.64903978636145,505300.093444768,1.78385798821205,4.6864931432,100752.755760335,567063.045763002
"Bacteroides uniformis",1.84620314977711,16121.8864748573,1.63028571111446,3.41520320405904,6854.30816345289,64261.807147986
"Bacteroides thetaiotaomicron",0.0781027661686747,857760.181795741,0.0300553353228916,0.798814228855422,149672.148477162,986503.460580937
"Bacteroides xylanisolvens",0.396784968835341,2656.95286682018,0.0200294365116466,0.66131544897751,57.8784722680266,8887.61066197946
"Bacteroides caccae",2.32471138630964,1590.93834589926,1.35962012251205,4.6446423089,739.004385975874,6444.38029940218
"Bacteroides massiliensis",1.91756508147711,10862.1740708574,1.73531240602651,2.87439162759277,5147.50747442482,41956.6834926229
"Bacteroides vulgatus",5933.15681636506,613.787898358828,49.0050767,9752.0102633,349.163434737405,947.018704400619
"Bacteroides plebeius",1.29918271936747,24256.6293258907,1.17570345454819,2.5751351225,5363.22015877626,75032.6664625109
"Bacteroides coprocola",1.93207441071928,10535.4149668595,1.62602158194819,3.12568044292651,5237.65700618977,17759.6303677728
"Barnesiella intestinihominis",0.404841851698394,1524.36363612127,0.0200800872839357,0.709444915193173,45.3642092162486,6965.96530114917
"Akkermansia muciniphila",0.163834937791566,120312.279997927,0.0114893649445783,0.516635211753012,19352.1087585103,156209.229771942
"Dialister invisus",3375.03177659638,2284.0146202669,22.5454839,4486.5512961,1616.88530401982,3210.58311505451
"Phascolarctobacterium sp.",2.7923772462253,11055.6326694164,2.37216350966386,3.7212707691506,7180.93373546647,15098.7967744076
"Eubacterium eligens",2.74883941121687,171613.901097672,1.11667945931325,2.759867519,2982.41493483242,205340.19833024
"Eubacterium rectale",1.82062971205904,77533.1171887558,1.70526999911446,3.0895865544494,45140.4855916029,299482.629984063
"Roseburia inulinivorans",1.50943704947831,337924.971794453,0.0105306611,2.07048022278193,874.970810951978,349113.353569839
"Roseburia intestinalis",2.9039730904,84540.229914795,1.1285707614747,2.9039730904,6448.75960823053,118143.226228529
"Lachnospiraceae bacterium",4.25395554860964,1255.8889812451,2.89548903738072,8.4991633962,655.140064110906,2809.54997383353
"Coprococcus sp.",1.61288422703012,12270.4909120368,1.44681502424699,2.09831728131928,6095.38709225357,31434.6062148125
"Oscillibacter sp.",1.86242752923374,19753.4056624607,1.71373971390843,2.15980315988434,13240.4231632443,37578.4103971581
"Ruminococcus bromii",3.78333924270602,51083.9996572035,3.57358252482169,3.99309596059036,43623.5321409111,62689.1713492138
"Ruminococcus bicirculans",7.37757745871687,281010.196264237,3.69643528568072,14.8586083265,59369.7774065917,419175.652175496
"Eubacterium siraeum",1.37254363528193,97112.2626000087,1.30679701866506,2.11767195693976,34744.0265989928,338450.219299592
"Faecalibacterium prausnitzii (57453)",1.7651004925241,272131.940640924,0.0110293865,2.1948479135,1193.70832765948,476289.622736131
"Faecalibacterium prausnitzii (62201)",3.02714025492771,32573.8223307933,2.78738115637349,3.29087526333735,27372.4657459766,38815.4502325734
"Faecalibacterium prausnitzii (61481)",3.3739502574747,45611.7227122385,3.21361372777831,3.53428678717108,41097.6196065637,54639.9289235879
