"Species","One epoch, log likelihood","One epoch, AIC","One epoch, theta","One epoch, Ancestral effective population size","Two epoch, log likelihood","Two epoch, AIC","Two epoch, nu","Two epoch, tau","Two epoch, time in years","Two epoch, theta","Two epoch, Ancestral effective population size","Two epoch, Current effective population size","Three epoch, log likelihood","Three epoch, AIC","Three epoch, nu (bottleneck)","Three epoch, nu (contemporary)","Three epoch, tau (bottleneck)","Three epoch, tau (contemporary)","Three epoch, time in years","Three epoch, theta","Three epoch, Ancestral effective population size","Three epoch, Current effective population size"
"Alistipes sp.",-83.5596106774,169.1192213548,3398.17417063,3398.17301257851,-34.0038105210456,72.0076210420912,1.5793334,0.2038415,6745.26543396784,3036.67332223657,6039059.47365542,9537688.33133042,-34.3388149148,76.6776298296,0.9333308,1.49653753,0.01116184,0.23406556,6511.75689411,3042.87705332,3848.4894221367,5759.40885403559
"Alistipes finegoldii",-193.781745509,389.563491018,5653.32983024,5653.32790366371,-37.7004353826342,79.4008707652683,0.06851456,0.23077105,117911.217503199,59553.7127733479,93247386.0752198,6388803.62809381,-37.8067541699,83.6135083398,0.00690255,0.00370682,0.00740431,0.01974531,2378330.79086,1111369.52844,4494.82535131402,16.6615085087578
"Alistipes onderdonkii",-229.798892014,461.597784028,7580.91500154,7580.91241806918,-37.6596153679438,79.3192307358877,0.5421293,0.1530254,11780.1146417664,9046.30163379251,14049111.5992663,7616435.03693213,-36.4354657254,80.8709314508,0.31264315,0.82496718,0.0479322,0.0295785,19094.7724129,8922.79084715,6242.41076711252,5149.78400694645
"Alistipes shahii",-72.0082538559,146.0165077118,4017.08230965,4017.0809406841,-32.8547419319784,69.7094838639568,402.9536095,0.0270756,927.844316261174,3791.61005167763,6254029.00462646,2520083561.33193,-33.0314291543,74.0628583086,4.39034141,1.19240114,5.91543653,2.56985984,8102.69770639,3786.30733943,4509.32081740763,5376.91928330259
"Alistipes putredinis",-802.699558618,1607.399117236,2009.7352726,2009.73458770768,-28.3465645174098,60.6931290348195,60.89823,26.4148,24333.5776872107,70.7029513887105,168120.823474566,10238260.5757435,-28.4260484713,64.8520969426,0.00052115,0.01810221,0.15395526,0.00759033,510990.100063,238780.42059,3378.22076251941,61.1532616694865
"Bacteroidales bacterium",-63.6896618568,129.3793237136,4537.39530753,4537.39376124807,-38.7295451957812,81.4590903915623,0.72751,0.5401052,26890.9056263648,5439.09188844623,9086359.98470589,6610417.75247338,-36.5048971194,81.0097942388,0.4001518,1.15813861,0.04766656,0.04632387,10613.0786249,4959.382535,4172.74633955447,4832.6186455742
"Odoribacter splanchnicus",-32.9228385237,67.8456770474,2545.19766437,2545.19679700559,-31.0959281661465,66.1918563322929,0.2401775,0.9648176,87531.1049673422,10121.9845777611,16556939.5257093,3976604.34293604,-30.8875183809,69.7750367618,0.00838497,0.02571741,0.03320606,0.01327675,206076.976097,96297.6523817,2387.32127902961,61.3957201345289
"Parabacteroides distasonis",-256.018069817,514.036139634,10367.0897482,10367.0862152605,-61.6826313604633,127.365262720927,0.07662073,0.26966881,247468.958303076,104576.175892908,167476115.945004,12832142.2612709,-58.8304989432,125.6609978864,0.00672441,0.01103846,0.03083438,0.00554795,1592601.43818,744206.279522,8527.39531750284,94.1293121164424
"Parabacteroides merdae",-75.5730812638,153.1461625276,5819.11904484,5819.11706177251,-34.5323255490948,73.0646510981896,0.09426602,0.36541194,165810.309145893,53030.0457165285,82811693.0692673,7806328.71510141,-34.388165515,76.77633103,0.61244376,1.01770956,0.592292,0.01048312,16808.0563673,7854.23194736,5293.98696336084,5387.7411431277
"Prevotella copri",-1571.66673344,3145.33346688,14305.8929107,14305.8880354535,-40.6293680446197,85.2587360892394,3.0291542,0.3615569,49732.7752574341,10270.738354341,25103189.8007803,76041432.8184307,-41.4676300294,90.9352600588,3.15352527,2.97541099,3.40061075,2.79478661,22061.1859377,10308.9653914,20067.867580061,59710.1537435782
"Bacteroides fragilis",-417.255751588,836.511503176,6397.58199595,6397.57981575034,-34.0860280986089,72.1720561972179,2.9142083,0.1837299,6557.92939669212,5239.597180788,6514030.18722762,18983240.8380693,-34.4389591089,76.8779182178,1.37969374,2.75252892,0.01231849,0.20048359,11099.7069398,5186.77894383,8340.82833547121,22958.37121014
"Bacteroides cellulosilyticus",-404.01602189,810.03204378,9923.53194818,9923.5285663793,-36.4022330295966,76.8044660591931,5.006727,4.940805,104916.598560814,2624.25113823578,3875335.94977914,19402749.1338298,-37.3156585714,82.6313171428,1.28186139,2.20931412,0.00943544,1.25133767,12932.8785472,6043.40119026,12125.2108714534,26788.3995862795
"Bacteroides eggerthii",-36.2873380741,74.5746761482,4514.73327011,4514.73173155672,-32.7614470212852,69.5228940425704,2.9411779,0.0118231,496.719429335354,4440.35209648016,7667303.4867084,22550903.5676997,-32.7608063748,73.5216127496,1.24099105,2.27207905,0.016941,0.00878135,9497.48311461,4438.07622178,4671.53256187993,10614.0912652402
"Bacteroides stercoris",-255.984427497,513.968854994,9687.53479982,9687.53149845046,-156.704628728236,317.409257456473,1.2991827,0.1196284,11192.1881988445,9250.44385918193,17074326.383109,22182669.4510888,-55.9180051753,119.8360103506,1.90022862,1.42618729,1.23758352,0.00696334,13728.8205235,6415.33669324,11259.532179779,16058.2016861469
"Bacteroides uniformis",-132.155990291,266.311980582,3198.21756934,3198.21647943585,-31.0509681687104,66.1019363374207,1.8462031,0.7476538,17409.0511725513,2330.23350571854,4249496.00870165,7845432.70470261,-31.0658710219,70.1317420438,1.84537164,6.64121537,7.35461791,4.85349167,5006.01558605,2339.25961965,3838.05444205544,25489.3461514754
"Bacteroides thetaiotaomicron",-109.873865546,221.747731092,11909.3699199,11909.3658613193,-51.1218332064091,106.243666412818,0.07810277,0.33575581,317038.411739781,134677.031514704,172326162.107247,13459150.604045,-46.2060247631,100.4120495262,0.69269882,0.94898069,0.58605713,0.01494606,31555.4149276,14745.5209942,11060.8580668799,10496.5407202998
"Bacteroides xylanisolvens",-111.795458981,225.590917962,7188.04722566,7188.04477607422,-34.7434095822373,73.4868191644746,0.39678497,0.02512167,2194.10431010897,7728.20011663856,15939387.6519709,6324509.45130564,-34.8568432183,77.7136864366,1.33035103,0.48000525,0.00412994,0.03823798,16567.4339813,7741.79158005,6307.45289269703,3027.61050262226
"Bacteroides caccae",-70.4392604458,142.8785208916,4331.15171195,4331.15023595954,-32.3147558653604,68.6295117307209,2.32471139,0.05557657,1616.75441580693,4070.09832766676,5309030.06221444,12341962.6554823,-32.3155554008,72.6311108016,2.82240754,2.32486673,0.00611348,0.04894154,8706.81092697,4068.6032369,4839.32216376344,11250.7790942852
"Bacteroides massiliensis",-144.031818256,290.063636512,2793.04594891,2793.04499708377,-30.8916567416595,65.783313483319,1.9175651,0.4748466,10357.9398359028,2151.14068198898,3980915.14196852,7633663.94230037,-31.3331352441,70.6662704882,1.87618574,6.25248873,5.63357593,4.61701423,4525.63553765,2114.78296152,3402.5164735015,21274.1959042075
"Bacteroides vulgatus",-55.0381288957,112.0762577914,3034.64445873,3034.64342456471,-37.8252822944755,79.6505645889511,5933.157,0.01950551,613.788011673122,2904.04019648199,5742803.55296246,34072955099.8841,-35.8122133438,79.6244266876,0.00725877,0.14434386,0.01944227,0.02439491,73024.1159652,34123.4186753,3247.19974889275,468.71334594621
"Bacteroides plebeius",-83.346751551,168.693503102,14512.614371,14512.6094253312,-314.885026323329,633.770052646658,1.928607,4.694039,0.00936349183202665,15264.1902142971,36404411.197795,70209802.2669457,-36.9554853126,81.9109706252,2.94828318,1.27576768,1.60410098,1.19901766,29698.7690406,13877.9294582,15459.3910581863,19722.5914645151
"Bacteroides coprocola",-182.83209747,367.66419494,7428.31703862,7428.31450716062,-34.0922107207325,72.184421441465,1.9320744,0.1378891,9893.26391706992,6635.58873476013,13094005.7253638,25298593.2554288,-34.1717656923,76.3435313846,1.87382909,7.40991122,1.52595252,2.57432563,14136.5828717,6605.87984659,8715.20313447652,64578.8814907367
"Barnesiella intestinihominis",-97.8995635176,197.7991270352,10384.4384871,10384.4349481868,-41.8476775870749,87.6953551741499,0.40484185,0.01665782,1747.60904856904,10900.6301617973,19146482.0344949,7751297.20783668,-41.8801124334,91.7602248668,1.00101562,0.46374413,0.01154049,0.02200362,23352.7660579,10912.5075037,9451.65881082838,4383.15129228444
"Akkermansia muciniphila",-323.915735336,649.831470672,8186.15079957,8186.14800985175,-35.2082973816578,74.4165947633155,0.1638349,0.3616908,120312.270181352,34203.381370949,60706518.6841822,9945846.41797112,-35.1279871065,78.255974213,0.35821199,0.54110245,0.39105309,0.00438205,32648.0964743,15256.1198478,6360.6757406084,3441.77722689877
"Dialister invisus",-81.0067208178,164.0134416356,7316.82593587,7316.82344240438,-42.0879397372792,88.1758794745583,3375.032,0.01913903,2284.01466794653,7012.01516185741,21779195.5444054,73505481896.6258,-42.1960332496,92.3920664992,4.15518992,3.77359947,7.68743492,1.45796304,15000.5324937,7009.59462323,7980.92265945901,30116.8055178455
"Phascolarctobacterium sp.",-321.474285719,644.948571438,4109.25980728,4109.25840690084,-32.9394625935906,69.8789251871813,2.7923772,0.2347536,10381.7702177607,3253.6232236377,8070900.99892537,22536999.9328564,-33.6992684487,75.3985368974,3.11085536,2.94851225,0.1890766,0.00571575,7080.51373504,3308.65127806,5447.45181364734,16061.8784038239
"Eubacterium eligens",-49.8874844041,101.7749688082,5281.93544486,5281.93364484766,-33.6593783880617,71.3187567761233,2.748839,4.984102,187243.149569801,2100.39519960749,6856174.85285988,18846520.8263605,-33.6630461929,75.3260923858,0.00634286,0.02022458,0.05129771,0.03804291,610106.142841,285096.328431,5643.912566036,114.1457612048
"Eubacterium rectale",-383.928472778,769.856945556,10909.9974437,10909.9937256886,-35.313932849278,74.627865698556,1.8206297,0.6665356,77533.1201611472,8138.7495282828,21228865.23902,38649902.5514575,-36.3182595861,80.6365191722,1.57041218,2.05180852,0.01682718,1.10751079,15096.689318,7054.52771871,13176.880213943,27036.4350899876
"Roseburia inulinivorans",-36.3863634727,74.7727269454,9034.2120493,9034.20897056716,-35.7324108706016,75.4648217412032,1.509437,4.49702,329533.71468607,6070.80789900652,13373278.9558881,20186122.0673388,-35.0265792588,78.0531585176,1.16591578,0.68117283,0.13743335,0.01591014,19075.6791674,8913.86876981,9064.64671926378,6174.59105871113
"Roseburia intestinalis",-58.9410080296,119.8820160592,4744.36142522,4744.35980841361,-44.5403711524773,93.0807423049546,2.903973,5.336551,96845.546932086,1786.77845871277,3311935.42703999,9617771.05786761,-33.8180438066,75.6360876132,1.64925676,0.44912429,0.38043542,0.01833212,8990.65519068,4201.24074331,4930.28773283651,2214.31197750591
"Lachnospiraceae bacterium",-97.9161312698,197.8322625396,483.597397221,483.597232417501,-24.2453946129855,52.4907892259709,4.2539555,0.3112736,1297.31994008502,339.162839602068,760619.882526226,3235643.13268179,-24.2494601181,56.4989202362,8.70649803,4.19406976,6.61309515,3.04965659,726.44718753,339.461302584,715.219828621767,2999.68185497493
"Coprococcus sp.",-128.892676068,259.785352136,5777.47942758,5777.47745869607,-33.3927619841306,70.7855239682613,1.6128842,0.2150851,13122.2291405521,5117.00745349252,11134229.2801815,17958222.4851821,-33.984123957,75.968247914,1.80646242,1.55775161,0.14147823,0.01338447,11068.2569348,5172.08267982,6699.55921275734,10436.2491499631
"Oscillibacter sp.",-256.770028177,515.540056354,6744.53007954,6744.52778109922,-35.3638014923235,74.7276029846471,1.8624275,0.2927173,21810.1344740444,5596.9996280907,13597930.6365326,25325159.9605708,-35.8771659282,79.7543318564,4.76736359,1.79439227,1.14047185,3.35317562,11905.2967261,5563.22276921,8129.36676057309,14587.2728751673
