species,first_quartile,median,third_quartile
Akkermansia muciniphila,0.0002,0.0003333,0.0005
Alistipes finegoldii,0.00116677,0.0016,0.0045
Alistipes onderdonkii,0.005333,0.0174333,0.0233
Alistipes shahii,0.0001,0.000333,0.0006333
Bacteroides caccae,0,6.66E-05,0.0004333
Bacteroides cellulosilyticus,0.0001,0.000367,0.0008
Bacteroides coprocola,0.0002666,0.000666,0.0022667
Bacteroides eggerthii,0.0001,0.0002,0.00043333
Bacteroides fragilis,3.33E-05,0.0001,0.00073333
Bacteroides ovatus,0.000202392,0.00083333,0.0017333
Bacteroides stercoris,0.0009,0.0015677,0.0024
Bacteroides thetaiotaomicron,0.00036667,0.000666677,0.0016
Bacteroides vulgatus,3.33E-05,0.0001,0.0002333
Barnesiella intestinihominis,0.001233333,0.00233333,0.004266667
Dialister invisus,0.0002333,0.0006333,0.00123333
Eubacterium rectale,3.33E-05,6.67E-05,0.00013333
Eubacterium siraeum,0.0002,0.0005,0.003466668
Oscillibacter sp.,0.00116667,0.002833333,0.0073333
Parabacteroides distasonis,0.000133,0.0003,0.0006667
Parabacteroides merdae,0.000466667,0.000933333,0.0019
Ruminococcus bicirculans,0.0001,0.0002,0.000333333
Ruminococcus bromii,0.0002,0.0003,0.000433
