Recombination percentile,Remaining sites
0.0,296810
0.01,296810
0.02,287755
0.03,287755
0.04,287755
0.05,285405
0.06,285405
0.07,285405
0.08,285405
0.09,259153
0.1,259153
0.11,259153
0.12,259153
0.13,259153
0.14,259153
0.15,259153
0.16,259153
0.17,250621
0.18,250621
0.19,250621
0.2,241004
0.21,241004
0.22,241004
0.23,241004
0.24,216838
0.25,216838
0.26,216838
0.27,216838
0.28,216838
0.29,216838
0.3,211294
0.31,198812
0.32,198812
0.33,198812
0.34,198812
0.35000000000000003,198743
0.36,198503
0.37,194709
0.38,181614
0.39,181614
0.4,181614
0.41000000000000003,181614
0.42,168904
0.43,168904
0.44,168904
0.45,167972
0.46,167972
0.47000000000000003,154455
0.48,154455
0.49,154455
0.5,154455
0.51,149169
0.52,146938
0.53,142378
0.54,142001
0.55,136614
0.56,134139
0.5700000000000001,128772
0.58,124448
0.59,124448
0.6,120675
0.61,120627
0.62,119210
0.63,110709
0.64,110709
0.65,108404
0.66,108015
0.67,105138
0.68,104502
0.6900000000000001,99098
0.7000000000000001,95382
0.71,92361
0.72,90275
0.73,86005
0.74,85251
0.75,80369
0.76,79284
0.77,79144
0.78,78834
0.79,77497
0.8,74516
0.81,72658
0.8200000000000001,65742
0.8300000000000001,62244
0.84,61103
0.85,59970
0.86,57396
0.87,50133
0.88,45198
0.89,41072
0.9,37740
0.91,31788
0.92,30577
0.93,28699
0.9400000000000001,23670
0.9500000000000001,18650
0.96,15061
0.97,12232
0.98,9160
0.99,5845
1.0,0
