Recombination percentile,Remaining sites
0.0,524000
0.01,520000
0.02,514000
0.03,510000
0.04,504000
0.05,498000
0.06,494000
0.07,488000
0.08,482000
0.09,478000
0.1,472000
0.11,466000
0.12,462000
0.13,456000
0.14,450000
0.15,444000
0.16,440000
0.17,434000
0.18,430000
0.19,424000
0.2,418000
0.21,414000
0.22,408000
0.23,404000
0.24,398000
0.25,392000
0.26,388000
0.27,382000
0.28,376000
0.29,372000
0.3,366000
0.31,360000
0.32,356000
0.33,352000
0.34,346000
0.35000000000000003,344000
0.36,338000
0.37,332000
0.38,328000
0.39,322000
0.4,316000
0.41000000000000003,312000
0.42,306000
0.43,302000
0.44,296000
0.45,290000
0.46,286000
0.47000000000000003,280000
0.48,274000
0.49,270000
0.5,264000
0.51,258000
0.52,254000
0.53,248000
0.54,242000
0.55,238000
0.56,232000
0.5700000000000001,224000
0.58,222000
0.59,216000
0.6,210000
0.61,206000
0.62,200000
0.63,196000
0.64,190000
0.65,184000
0.66,180000
0.67,174000
0.68,166000
0.6900000000000001,164000
0.7000000000000001,156000
0.71,152000
0.72,148000
0.73,142000
0.74,136000
0.75,132000
0.76,126000
0.77,120000
0.78,116000
0.79,112000
0.8,104000
0.81,100000
0.8200000000000001,94000
0.8300000000000001,92000
0.84,86000
0.85,80000
0.86,76000
0.87,70000
0.88,62000
0.89,60000
0.9,54000
0.91,48000
0.92,44000
0.93,38000
0.9400000000000001,32000
0.9500000000000001,28000
0.96,22000
0.97,16000
0.98,12000
0.99,6000
1.0,0
