Recombination percentile,Remaining sites
0.0,2005735
0.01,2005735
0.02,2005735
0.03,2005735
0.04,2005735
0.05,2005735
0.06,2005735
0.07,2005735
0.08,1978492
0.09,1940072
0.1,1940072
0.11,1940072
0.12,1877873
0.13,1877873
0.14,1877873
0.15,1782245
0.16,1782245
0.17,1782245
0.18,1782245
0.19,1684796
0.2,1684796
0.21,1684796
0.22,1684796
0.23,1684796
0.24,1589103
0.25,1589103
0.26,1589103
0.27,1589103
0.28,1682296
0.29,1587683
0.3,1446702
0.31,1446702
0.32,1446702
0.33,1446702
0.34,1446702
0.35000000000000003,1446702
0.36,1446702
0.37,1316840
0.38,1316840
0.39,1316840
0.4,1316840
0.41000000000000003,1316840
0.42,1316840
0.43,1316840
0.44,1129366
0.45,1129366
0.46,1129366
0.47000000000000003,1129366
0.48,1129366
0.49,1129366
0.5,1129366
0.51,1129366
0.52,1128584
0.53,975474
0.54,975474
0.55,975474
0.56,975474
0.5700000000000001,975474
0.58,975474
0.59,975474
0.6,974792
0.61,841731
0.62,841731
0.63,841731
0.64,841731
0.65,841731
0.66,692018
0.67,692018
0.68,692018
0.6900000000000001,692018
0.7000000000000001,692018
0.71,692018
0.72,545564
0.73,545564
0.74,545564
0.75,545564
0.76,545564
0.77,545564
0.78,435036
0.79,435036
0.8,435036
0.81,435036
0.8200000000000001,435036
0.8300000000000001,309858
0.84,309858
0.85,309858
0.86,309858
0.87,309858
0.88,309858
0.89,219117
0.9,219117
0.91,219117
0.92,219117
0.93,150820
0.9400000000000001,150820
0.9500000000000001,109507
0.96,109507
0.97,58314
0.98,58314
0.99,29573
1.0,0
