"","Alistipes_finegoldii_56071","Alistipes_onderdonkii_55464","Alistipes_putredinis_61533","Alistipes_shahii_62199","Bacteroidales_bacterium_58650","Bacteroides_caccae_53434","Bacteroides_cellulosilyticus_58046","Bacteroides_massiliensis_44749","Bacteroides_stercoris_56735","Bacteroides_thetaiotaomicron_56941","Bacteroides_vulgatus_57955","Dialister_invisus_61905","Eubacterium_eligens_61678","Eubacterium_rectale_56927","Eubacterium_siraeum_57634","Parabacteroides_distasonis_56985","Parabacteroides_merdae_56972","Ruminococcus_bromii_62047"
"Alistipes_finegoldii_56071",0,37.7606006443228,34.9799497623791,0.619878341554691,1.71073274700906,104.135878107045,72.3516745141051,107.025800148383,74.333224786298,100.487757497658,17.2214376490706,13.7942755496662,1.0500231710377,14.6302647903707,14.6840150162821,174.115172902807,106.801520790041,1.28788740186007
"Alistipes_onderdonkii_55464",35.2258475044576,0,0.0396614188230324,101.278182440531,139.463455926046,413.085924927044,631.356076453691,309.545925883669,1003.4850901292,464.883825143593,115.364943284504,318.020483343849,72.8475256776924,143.498477378233,228.835675332043,758.924578302273,686.316336582178,130.681852493158
"Alistipes_putredinis_61533",22.1465110851563,0.0738552102759574,0,112.648386618092,93.3333172074296,214.741841345955,365.415766890442,226.786653646148,303.023892327884,349.494206731682,143.212181250338,131.842051727182,138.8407535087,166.834548739313,148.445877200116,472.145811166391,220.045872454696,122.686824795671
"Alistipes_shahii_62199",0.394730735884147,126.714609973629,126.347994775299,0,0.515533759849768,111.473319281672,104.798770589157,109.4831006198,210.407513945567,130.153279618012,7.196229239521,17.2851058446309,1.08773509686827,20.2109318358942,11.5927788749667,281.465812693828,167.226441176229,0.779440097938791
"Bacteroidales_bacterium_58650",2.47318385524631,103.887141952207,105.385668094536,0.732905180245965,0,70.7111569836459,96.2658639997579,88.8438161527883,73.2367649408816,100.084337112517,6.80901332889148,6.2666286989104,0.0487635461553504,10.2037985429998,5.29473683987047,165.686443063767,139.229567234086,0.00462895943644701
"Bacteroides_caccae_53434",83.5924913601085,575.277408980124,401.413779778243,91.6966476548631,101.737709751383,0,2.78119748405023,3.09992661352612,5.69089177510164,2.5413231257467,41.3900708500932,21.7419292008649,55.8787275647039,49.8121382795901,70.7851258196635,83.1308057936165,28.1299399296597,91.0829305978536
"Bacteroides_cellulosilyticus_58046",95.8751740680427,544.782087232741,203.750185286299,62.8073178150181,78.9617817970432,2.67819823178846,0,7.72441236630722,22.1766365991084,10.2129092642072,20.4531168457512,52.8338390607458,64.1386390952624,40.6954574343622,44.471897539076,75.0468585770857,22.0859574134357,48.1752908673189
"Bacteroides_massiliensis_44749",80.2255972014471,362.881026389949,188.084952546589,82.5191127452109,66.4939383655757,3.5207068791267,8.13535913405992,0,0.0518810174395561,0.151052066685244,49.167507105384,34.5076247104469,106.267835378448,57.1597336358882,71.9842502439463,30.0835947422209,6.50633857837449,87.5245547913634
"Bacteroides_stercoris_56735",86.0299269009007,846.675796260436,200.195698814375,96.2904033244999,169.044699374074,7.86013139810957,17.2881581040815,0.0561484128537513,0,0.751550322669719,51.1220350517488,112.430828885227,110.60379011005,111.715613511889,140.825446517818,41.3723706056981,8.77835619628867,153.246001211988
"Bacteroides_thetaiotaomicron_56941",100.096328251793,556.27057211967,349.186457662315,122.896978190616,83.3248408438336,2.34486476036636,6.42512178558916,0.178198030276372,0.627264877957881,0,60.7624266860477,51.8112085564182,96.6620714960258,69.8782995545523,50.1406393674663,44.2276675204656,8.94783446870106,76.3550953894372
"Bacteroides_vulgatus_57955",10.6886033374441,168.314128007152,144.212272776146,10.1479142801793,7.01506517872307,45.9099816942008,24.6629447607723,55.6717820622662,59.4366738087777,48.5787325162935,0,0,4.25332312435082,0.0129172467836793,0.291208666684725,130.568615282155,75.1195339549953,4.40376425419575
"Dialister_invisus_61905",14.0706660482676,223.106920146702,164.174487836512,20.6112027536758,9.47807094375816,41.8416721704545,39.3128996261599,65.0596406277062,113.45497676633,54.7552076166807,0,0,5.65572092763418,0.0153251264202938,0.287814740163131,222.914047179539,137.34528792861,6.64359911626118
"Eubacterium_eligens_61678",2.57233810962119,108.295584235645,76.2510875513445,1.33460735752353,0.0556845525999947,82.2751684584566,47.0117759325569,55.9927938681263,134.625513719362,87.7403219492139,5.69588358317742,3.79147134773114,0,8.45688726045019,4.28600491939744,233.881644673267,91.2819673209335,0.0221247223478793
