X,Y,Z
0.01,0.0001,-445.8754563777702
0.01,0.11120000000000001,-443.9495104599714
0.01,0.2223,-443.75314673211597
0.01,0.33340000000000003,-443.6376563942367
0.01,0.4445,-443.5554390360494
0.01,0.5556,-443.4915096046484
0.01,0.6667000000000001,-443.43917411368784
0.01,0.7778,-443.3948540891706
0.01,0.8889,-443.35640979902246
0.01,1.0,-443.3224590665677
0.12,0.0001,-177.30946398163542
0.12,0.11120000000000001,-216.83997835297941
0.12,0.2223,-216.84103395075226
0.12,0.33340000000000003,-128.6721577992057
0.12,0.4445,-126.49359041492835
0.12,0.5556,-216.84810304345592
0.12,0.6667000000000001,-216.84174783237404
0.12,0.7778,-122.20947127011914
0.12,0.8889,-121.18022758543793
0.12,1.0,-120.27071781172572
0.23,0.0001,-51.026261208369306
0.23,0.11120000000000001,-268.8380006732432
0.23,0.2223,-67.48689827686485
0.23,0.33340000000000003,-413.491534593074
0.23,0.4445,-462.1379174937897
0.23,0.5556,-67.48649529899149
0.23,0.6667000000000001,-539.6196645513173
0.23,0.7778,-572.0205965344858
0.23,0.8889,-601.4756567428353
0.23,1.0,-67.48562497953208
0.34,0.0001,-246.87343502131307
0.34,0.11120000000000001,-4019.1520208408415
0.34,0.2223,-64.50883827970938
0.34,0.33340000000000003,-5723.266345072125
0.34,0.4445,-6234.85665797238
0.34,0.5556,-64.50994729496142
0.34,0.6667000000000001,-7000.332605568145
0.34,0.7778,-7304.60553470042
0.34,0.8889,-7573.915394476316
0.34,1.0,-7815.801220581383
0.45,0.0001,-1215.3840780831329
0.45,0.11120000000000001,-251.15486057549424
0.45,0.2223,-251.04886624062783
0.45,0.33340000000000003,-251.0568919116654
0.45,0.4445,-251.05776959498735
0.45,0.5556,-21473.08067054834
0.45,0.6667000000000001,-251.05781919890478
0.45,0.7778,-22723.23572688049
0.45,0.8889,-23219.349070099335
0.45,1.0,-251.0598731395803
0.56,0.0001,-3785.112165612694
0.56,0.11120000000000001,-669.0797798766725
0.56,0.2223,-668.7580678169425
0.56,0.33340000000000003,-668.8055195501206
0.56,0.4445,-668.8101281515737
0.56,0.5556,-37520.65111860027
0.56,0.6667000000000001,-668.8109679241343
0.56,0.7778,-668.8127340611
0.56,0.8889,-39488.92162939216
0.56,1.0,-668.8154650324868
0.67,0.0001,-8717.393465830128
0.67,0.11120000000000001,-1352.8401823782256
0.67,0.2223,-1352.95779211004
0.67,0.33340000000000003,-1352.1990402551455
0.67,0.4445,-1352.223758751666
0.67,0.5556,-51518.21993816353
0.67,0.6667000000000001,-1352.2290576376927
0.67,0.7778,-1352.2294267571424
0.67,0.8889,-1352.2293778007243
0.67,1.0,-1352.2507331628922
0.78,0.0001,-15848.591170079979
0.78,0.11120000000000001,-56141.41666791345
0.78,0.2223,-2324.4008608331887
0.78,0.33340000000000003,-2324.6909776539223
0.78,0.4445,-2323.814427830626
0.78,0.5556,-62965.11570005132
0.78,0.6667000000000001,-63684.60067329448
0.78,0.7778,-2322.934184781068
0.78,0.8889,-2322.946049614705
0.78,1.0,-2322.980449748181
0.89,0.0001,-24154.87687459145
0.89,0.11120000000000001,-3608.7545668670664
0.89,0.2223,-3592.3307433978557
0.89,0.33340000000000003,-3587.4362305237455
0.89,0.4445,-3589.768680949276
0.89,0.5556,-72255.93673113309
0.89,0.6667000000000001,-72902.9209364194
0.89,0.7778,-73439.43930831802
0.89,0.8889,-3585.4185367807486
0.89,1.0,-3585.4466355996806
1.0,0.0001,-32624.087412038287
1.0,0.11120000000000001,-6896.16645259892
1.0,0.2223,-6896.174181350476
1.0,0.33340000000000003,-6896.176760661532
1.0,0.4445,-6896.1780508914035
1.0,0.5556,-6896.178825213238
1.0,0.6667000000000001,-6896.179341504428
1.0,0.7778,-6896.179710321451
1.0,0.8889,-6896.179986954677
1.0,1.0,-6896.180202125983
