"","Bacteroidales bacterium","Alistipes putredinis","Alistipes finegoldii","Alistipes onderdonkii","Alistipes shahii","Odoribacter splanchnicus","Parabacteroides distasonis","Parabacteroides merdae","Prevotella copri","Bacteroides fragilis","Bacteroides cellulosilyticus","Bacteroides stercoris","Bacteroides uniformis","Bacteroides thetaiotaomicron","Bacteroides xylanisolvens","Bacteroides caccae","Bacteroides vulgatus","Barnesiella intestinihominis","Akkermansia muciniphila","Dialister invisus","Phascolarctobacterium species","Eubacterium eligens","Eubacterium rectale","Oscillibacter species","Ruminococcus bromii","Ruminococcus bicirculans","Faecalibacterium prausnitzii"
"Bacteroidales bacterium",0,33.9245128188364,17.1031456034616,30.84781365949,4.07564462519168,4.37746098219396,0.722422981569252,3.85695728312384,10.2991999073893,15.7492080972002,35.6440300211048,26.1767031907734,0.841072725099138,7.07060276278526,1.85008241982268,16.2621977814201,0.79317588070262,2.62701114479568e-05,1.23767269236168,2.1959722755064,14.2294882115125,1.68501979607117,2.42419241749848,9.38411169558504,1.11503544128391,1.70609132590835,5.75629901103366
"Alistipes putredinis",33.9245128188364,0,6.66864496536664,0.16866745171842,35.0021559188828,21.5297374958164,72.8350517425802,29.976367771968,37.0787127518992,127.936762300635,142.394062531316,148.497648153967,41.6896353115462,30.8928256433678,67.0819057366002,105.517756975113,59.5555735528894,0.0002517154916859,29.9176900095492,66.4899930950042,119.514214534694,48.8239400406324,65.5109189637832,20.942922146096,39.6919508088552,92.9660366162722,66.5070975452024
"Alistipes finegoldii",17.1031456034616,6.66864496536664,0,7.34014676816696,11.8240937002474,12.083823604456,28.5358632053058,14.467735450005,12.6369506087394,74.8812640215824,90.0618033736324,96.1997577162356,16.3704056929216,12.1252815502685,20.5852992230848,56.1267787126208,19.9739749916314,0.0329755317761738,17.7698986892528,16.8929375631069,67.2175194115392,16.8550730104307,18.8363919514522,11.4368404114261,13.0463948141214,44.5055634017218,21.8509694645822
"Alistipes onderdonkii",30.84781365949,0.16866745171842,7.34014676816696,0,32.3918989212098,17.1048072427898,86.4872532751896,25.7482120832788,34.4366028171916,166.685781462399,175.021447695199,190.517554203441,39.1723786082432,26.9388002752194,61.4870718260244,126.008418945283,57.9489589069714,0.0050555839234221,23.1404229642094,57.2355933775526,147.758686866866,47.5319404728146,61.446732067534,15.9144136070913,38.3593495187396,108.990118401608,59.9837206464918
"Alistipes shahii",4.07564462519168,35.0021559188828,11.8240937002474,32.3918989212098,0,3.5963322508287,5.3050257356872,1.25208918531143,0.139077317445299,18.0425990008284,37.5741688771978,27.6296799978136,2.35039809196156,3.59071849052088,8.28122634261126,19.0763148103656,6.70190147802532,4.96884695166954e-07,6.99093077036742,10.0870736462034,16.8351889208238,4.41860316713474,8.8038527112949,4.11138835940664,0.769939612916004,4.80868152490576,12.2865524952895
"Odoribacter splanchnicus",4.37746098219396,21.5297374958164,12.083823604456,17.1048072427898,3.5963322508287,0,5.71125188410906,3.33535550298074,4.00712282276072,29.7510021318162,49.3363730730394,43.3381664681728,2.14731058407664,1.1957575089591,4.4533094046301,25.6092316472396,3.20638467910908,0,1.96352220144172,2.27212924186414,27.05297295844,2.02146986354,2.1774560224576,0.187735331208842,2.25070815511344,12.305913899565,6.37722291165028
"Parabacteroides distasonis",0.722422981569252,72.8350517425802,28.5358632053058,86.4872532751896,5.3050257356872,5.71125188410906,0,23.7995335289992,34.123541442049,44.2804796437222,21.7349805229138,11.7735412664169,2.1604015113976,75.5989522186974,6.2022559243901,15.3309332153767,4.42023078391208,0.066153888476947,2.43458806750278,19.4479707614191,28.8528744354528,4.34159052696532,11.387404188853,20.0604253602292,2.09995609073666,2.37212578073286,17.2254619014848
"Parabacteroides merdae",3.85695728312384,29.976367771968,14.467735450005,25.7482120832788,1.25208918531143,3.33535550298074,23.7995335289992,0,12.6743236474795,30.9592174949712,30.2074663310964,13.8470273287871,2.35327759560346,8.6430286918594,3.87759108727324,30.0401468560918,4.80249653888496,2.14156627960846,10.980949802421,9.03060823036548,29.4657273290302,5.69467066369658,18.846097626822,5.2748868903136,0.692273209404902,12.7590754952371,3.1278161463174
"Prevotella copri",10.2991999073893,37.0787127518992,12.6369506087394,34.4366028171916,0.139077317445299,4.00712282276072,34.123541442049,12.6743236474795,0,75.7187958780728,90.900583709023,96.8591322754114,4.7215195880708,5.73286504426688,15.8220658525925,58.2132690892754,13.1903062634292,0.661010230648572,8.91784564107092,10.7359204985032,68.0870009192892,6.63735021243452,12.1829354891879,4.1858756020788,1.3190898525927,46.3985911270638,14.3207565932562
"Bacteroides fragilis",15.7492080972002,127.936762300635,74.8812640215824,166.685781462399,18.0425990008284,29.7510021318162,44.2804796437222,30.9592174949712,75.7187958780728,0,5.59661378186002,6.87403843303128,15.7482130981011,80.7504955278756,18.6002230363706,6.980736236962,8.41604114669668,0.433893875383092,31.3273626833234,14.5683140128444,0.193094977453484,15.2734689664126,21.2953946228458,69.7305313952892,20.3743326079612,13.4141979903975,11.2552685464893
"Bacteroides cellulosilyticus",35.6440300211048,142.394062531316,90.0618033736324,175.021447695199,37.5741688771978,49.3363730730394,21.7349805229138,30.2074663310964,90.900583709023,5.59661378186002,0,8.34526993231794,36.1116534831936,87.7571978946662,17.0555402291225,0.0974925733580676,28.7099850851034,0.0455928572478114,48.9478924214296,36.3654274920028,2.11418108496128,35.160050576288,40.5797832782168,85.8808172630206,40.264522617298,32.7949197481984,33.294190980313
"Bacteroides stercoris",26.1767031907734,148.497648153967,96.1997577162356,190.517554203441,27.6296799978136,43.3381664681728,11.7735412664169,13.8470273287871,96.8591322754114,6.87403843303128,8.34526993231794,0,23.912667870353,66.0295776154548,6.40048931580122,4.66324365584796,10.9913773280898,5.55108287373242,49.1331483402836,15.2682022471581,8.07896923114436,22.9963681114064,26.0850252820982,91.7157512425052,33.9264331128788,29.0758429014358,9.12257368466772
