Recombination percentile,Remaining sites
0.0,201277
0.01,201277
0.02,201277
0.03,201277
0.04,201277
0.05,201277
0.06,201277
0.07,201277
0.08,201277
0.09,201277
0.1,201277
0.11,201277
0.12,201277
0.13,201277
0.14,201277
0.15,201277
0.16,201277
0.17,201277
0.18,201277
0.19,201277
0.2,201277
0.21,201277
0.22,201277
0.23,201277
0.24,201277
0.25,144084
0.26,144084
0.27,144084
0.28,144084
0.29,144084
0.3,144084
0.31,144084
0.32,144084
0.33,144084
0.34,144084
0.35000000000000003,144084
0.36,144084
0.37,144084
0.38,144084
0.39,144084
0.4,144084
0.41000000000000003,144084
0.42,144084
0.43,144084
0.44,144084
0.45,144084
0.46,144084
0.47000000000000003,133303
0.48,133303
0.49,133303
0.5,128333
0.51,128333
0.52,123662
0.53,123662
0.54,121026
0.55,116619
0.56,115121
0.5700000000000001,112368
0.58,112353
0.59,109660
0.6,109660
0.61,104646
0.62,104646
0.63,102961
0.64,94800
0.65,94800
0.66,94800
0.67,87551
0.68,87551
0.6900000000000001,80290
0.7000000000000001,80290
0.71,74953
0.72,74953
0.73,71856
0.74,61827
0.75,61827
0.76,61827
0.77,60649
0.78,58930
0.79,55557
0.8,53851
0.81,52415
0.8200000000000001,52415
0.8300000000000001,46302
0.84,44116
0.85,40718
0.86,40064
0.87,36835
0.88,33995
0.89,32637
0.9,29458
0.91,25664
0.92,25166
0.93,20166
0.9400000000000001,17311
0.9500000000000001,15185
0.96,12343
0.97,9622
0.98,6991
0.99,4484
1.0,0
