Akkermansia_muciniphila_55290, 0.047671
Alistipes_finegoldii_56071, 0.219832
Alistipes_onderdonkii_55464, 0.116935
Alistipes_putredinis_61533, 0.147876
Alistipes_shahii_62199, 0.733593
Alistipes_sp_60764, 0.276301
Bacteroidales_bacterium_58650, 0.058220
Bacteroides_caccae_53434, 0.501618
Bacteroides_cellulosilyticus_58046, 0.371321
Bacteroides_coprocola_61586, 0.178880
Bacteroides_eggerthii_54457, 0.497937
Bacteroides_finegoldii_57739, 0.213413
Bacteroides_fragilis_54507, 0.606719
Bacteroides_massiliensis_44749, 1.558528
Bacteroides_ovatus_58035, 0.147876
Bacteroides_plebeius_61623, 0.062795
Bacteroides_stercoris_56735, 0.053757
Bacteroides_thetaiotaomicron_56941, 0.052116
Bacteroides_uniformis_57318, 0.356108
Bacteroides_vulgatus_57955, 0.162795
Bacteroides_xylanisolvens_57185, 0.182641
Barnesiella_intestinihominis_62208, 0.063959
Coprococcus_sp_62244, 0.552365
Dialister_invisus_61905, 0.089356
Escherichia_coli_58110, 0.163323
Eubacterium_eligens_61678, 0.232795
Eubacterium_rectale_56927, 0.116738
Eubacterium_siraeum_57634, 0.050504
Faecalibacterium_prausnitzii_61481, 0.072047
Faecalibacterium_prausnitzii_62201, 0.162740
Lachnospiraceae_bacterium_51870, 0.647421
Odoribacter_splanchnicus_62174, 0.669826
Oscillibacter_sp_60799, 0.076134
Parabacteroides_distasonis_56985, 0.109632
Parabacteroides_merdae_56972, 0.316894
Phascolarctobacterium_sp_59817, 0.162740
Prevotella_copri_61740, 0.053757
Roseburia_intestinalis_56239, 0.904444
Roseburia_inulinivorans_61943, 0.241734
Ruminococcus_bicirculans_59300, 0.135474
Ruminococcus_bromii_62047, 0.048481
