site, alts, refs, total
411485.10.peg.52.site.1, 1.0, 137, 138.0
411485.10.peg.52.site.2, 13.0, 123, 136.0
411485.10.peg.52.site.3, 11.0, 128, 139.0
411485.10.peg.52.site.4, 12.0, 117, 129.0
411485.10.peg.52.site.5, 2.0, 125, 127.0
411485.10.peg.52.site.6, 6.0, 110, 116.0
411485.10.peg.52.site.7, 0.0, 96, 96.0
411485.10.peg.52.site.8, 0.0, 112, 112.0
411485.10.peg.52.site.9, 4.0, 115, 119.0
411485.10.peg.52.site.10, 4.0, 114, 118.0
411485.10.peg.52.site.11, 5.0, 107, 112.0
411485.10.peg.52.site.12, 4.0, 112, 116.0
411485.10.peg.52.site.13, 7.0, 114, 121.0
411485.10.peg.52.site.14, 9.0, 113, 122.0
411485.10.peg.52.site.15, 1.0, 123, 124.0
411485.10.peg.52.site.16, 26.0, 121, 147.0
411485.10.peg.52.site.17, 2.0, 125, 127.0
411485.10.peg.52.site.18, 1.0, 130, 131.0
411485.10.peg.52.site.19, 8.0, 122, 130.0
411485.10.peg.52.site.20, 4.0, 126, 130.0
411485.10.peg.52.site.21, 40.0, 110, 150.0
411485.10.peg.52.site.22, 0.0, 119, 119.0
411485.10.peg.52.site.23, 3.0, 113, 116.0
411485.10.peg.52.site.24, 5.0, 106, 111.0
411485.10.peg.52.site.25, 0.0, 119, 119.0
411485.10.peg.52.site.26, 0.0, 98, 98.0
411485.10.peg.52.site.27, 1.0, 105, 106.0
411485.10.peg.52.site.28, 3.0, 100, 103.0
411485.10.peg.52.site.29, 1.0, 111, 112.0
411485.10.peg.52.site.30, 7.0, 112, 119.0
411485.10.peg.52.site.31, 9.0, 107, 116.0
411485.10.peg.52.site.32, 98.0, 110, 208.0
411485.10.peg.52.site.33, 1.0, 115, 116.0
411485.10.peg.52.site.34, 11.0, 125, 136.0
411485.10.peg.52.site.35, 5.0, 134, 139.0
411485.10.peg.52.site.36, 0.0, 134, 134.0
411485.10.peg.52.site.37, 8.0, 164, 172.0
411485.10.peg.52.site.38, 57.0, 159, 216.0
411485.10.peg.52.site.39, 0.0, 181, 181.0
411485.10.peg.52.site.40, 0.0, 181, 181.0
411485.10.peg.52.site.41, 17.0, 164, 181.0
411485.10.peg.52.site.42, 4.0, 183, 187.0
411485.10.peg.52.site.43, 2.0, 178, 180.0
411485.10.peg.52.site.44, 33.0, 164, 197.0
411485.10.peg.52.site.45, 1.0, 183, 184.0
411485.10.peg.52.site.46, 1.0, 184, 185.0
411485.10.peg.52.site.47, 2.0, 184, 186.0
411485.10.peg.52.site.48, 0.0, 183, 183.0
411485.10.peg.52.site.49, 0.0, 182, 182.0
411485.10.peg.52.site.50, 21.0, 173, 194.0
411485.10.peg.52.site.51, 21.0, 165, 186.0
411485.10.peg.52.site.52, 42.0, 161, 203.0
411485.10.peg.52.site.53, 2.0, 181, 183.0
411485.10.peg.52.site.54, 17.0, 171, 188.0
411485.10.peg.52.site.55, 46.0, 165, 211.0
411485.10.peg.52.site.56, 0.0, 184, 184.0
411485.10.peg.52.site.57, 13.0, 174, 187.0
411485.10.peg.52.site.58, 45.0, 159, 204.0
411485.10.peg.52.site.59, 0.0, 185, 185.0
411485.10.peg.52.site.60, 1.0, 184, 185.0
411485.10.peg.52.site.61, 17.0, 171, 188.0
411485.10.peg.52.site.62, 0.0, 186, 186.0
411485.10.peg.52.site.63, 104.0, 161, 265.0
411485.10.peg.52.site.64, 2.0, 187, 189.0
411485.10.peg.52.site.65, 6.0, 184, 190.0
411485.10.peg.52.site.66, 0.0, 186, 186.0
411485.10.peg.52.site.67, 5.0, 178, 183.0
411485.10.peg.52.site.68, 34.0, 165, 199.0
411485.10.peg.52.site.69, 9.0, 173, 182.0
411485.10.peg.52.site.70, 68.0, 160, 228.0
411485.10.peg.52.site.71, 6.0, 176, 182.0
411485.10.peg.52.site.72, 1.0, 184, 185.0
411485.10.peg.52.site.73, 5.0, 181, 186.0
411485.10.peg.52.site.74, 158.0, 174, 332.0
411485.10.peg.52.site.75, 3.0, 186, 189.0
411485.10.peg.52.site.76, 2.0, 187, 189.0
411485.10.peg.52.site.77, 2.0, 180, 182.0
411485.10.peg.52.site.78, 0.0, 186, 186.0
411485.10.peg.52.site.79, 1.0, 181, 182.0
411485.10.peg.52.site.80, 2.0, 185, 187.0
411485.10.peg.52.site.81, 0.0, 185, 185.0
411485.10.peg.52.site.82, 0.0, 181, 181.0
411485.10.peg.52.site.83, 2.0, 184, 186.0
411485.10.peg.52.site.84, 26.0, 171, 197.0
411485.10.peg.52.site.85, 0.0, 184, 184.0
