site, alts, refs, total
537012.5.peg.2236.site.1, 7, 113, 120
537012.5.peg.2236.site.2, 20, 114, 134
537012.5.peg.2236.site.3, 3, 125, 128
537012.5.peg.2236.site.4, 25, 125, 150
537012.5.peg.2236.site.5, 47, 127, 174
537012.5.peg.2236.site.6, 5, 132, 137
537012.5.peg.2236.site.7, 7, 132, 139
537012.5.peg.2236.site.8, 17, 129, 146
537012.5.peg.2236.site.9, 58, 132, 190
537012.5.peg.2236.site.10, 18, 130, 148
537012.5.peg.2236.site.11, 0, 129, 129
537012.5.peg.2236.site.12, 2, 132, 134
537012.5.peg.2236.site.13, 1, 129, 130
537012.5.peg.2236.site.14, 1, 130, 131
537012.5.peg.2236.site.15, 1, 131, 132
537012.5.peg.2236.site.16, 0, 130, 130
537012.5.peg.2236.site.17, 1, 131, 132
537012.5.peg.2236.site.18, 11, 130, 141
537012.5.peg.2236.site.19, 0, 129, 129
537012.5.peg.2236.site.20, 1, 132, 133
537012.5.peg.2236.site.21, 2, 130, 132
537012.5.peg.2236.site.22, 1, 128, 129
537012.5.peg.2236.site.23, 5, 125, 130
537012.5.peg.2236.site.24, 1, 129, 130
537012.5.peg.2236.site.25, 0, 129, 129
537012.5.peg.2236.site.26, 1, 130, 131
537012.5.peg.2236.site.27, 1, 129, 130
537012.5.peg.2236.site.28, 0, 128, 128
537012.5.peg.2236.site.29, 1, 130, 131
537012.5.peg.2236.site.30, 0, 130, 130
537012.5.peg.2236.site.31, 3, 128, 131
537012.5.peg.2236.site.32, 5, 131, 136
537012.5.peg.2236.site.33, 5, 126, 131
537012.5.peg.2236.site.34, 8, 126, 134
537012.5.peg.2236.site.35, 1, 124, 125
537012.5.peg.2236.site.36, 1, 127, 128
537012.5.peg.2236.site.37, 1, 127, 128
537012.5.peg.2236.site.38, 1, 130, 131
537012.5.peg.2236.site.39, 1, 123, 124
537012.5.peg.2236.site.40, 1, 125, 126
537012.5.peg.2236.site.41, 2, 124, 126
537012.5.peg.2236.site.42, 0, 124, 124
537012.5.peg.2236.site.43, 1, 124, 125
537012.5.peg.2236.site.44, 2, 124, 126
537012.5.peg.2236.site.45, 0, 127, 127
537012.5.peg.2236.site.46, 7, 127, 134
537012.5.peg.2236.site.47, 7, 126, 133
537012.5.peg.2236.site.48, 2, 128, 130
537012.5.peg.2236.site.49, 6, 127, 133
537012.5.peg.2236.site.50, 0, 125, 125
537012.5.peg.2236.site.51, 11, 128, 139
537012.5.peg.2236.site.52, 6, 128, 134
537012.5.peg.2236.site.53, 6, 126, 132
537012.5.peg.2236.site.54, 0, 128, 128
537012.5.peg.2236.site.55, 1, 128, 129
537012.5.peg.2236.site.56, 1, 129, 130
537012.5.peg.2236.site.57, 6, 129, 135
537012.5.peg.2236.site.58, 6, 129, 135
537012.5.peg.2236.site.59, 5, 127, 132
537012.5.peg.2236.site.60, 1, 128, 129
537012.5.peg.2236.site.61, 1, 129, 130
537012.5.peg.2236.site.62, 5, 128, 133
537012.5.peg.2236.site.63, 0, 127, 127
537012.5.peg.2236.site.64, 1, 128, 129
537012.5.peg.2236.site.65, 5, 129, 134
537012.5.peg.2236.site.66, 41, 130, 171
537012.5.peg.2236.site.67, 1, 129, 130
537012.5.peg.2236.site.68, 1, 128, 129
537012.5.peg.2236.site.69, 5, 130, 135
537012.5.peg.2236.site.70, 28, 129, 157
537012.5.peg.2236.site.71, 22, 130, 152
537012.5.peg.2236.site.72, 0, 129, 129
537012.5.peg.2236.site.73, 0, 129, 129
537012.5.peg.2236.site.74, 17, 128, 145
537012.5.peg.2236.site.75, 0, 129, 129
537012.5.peg.2236.site.76, 0, 129, 129
537012.5.peg.2236.site.77, 6, 129, 135
537012.5.peg.2236.site.78, 3, 132, 135
537012.5.peg.2236.site.79, 1, 129, 130
537012.5.peg.2236.site.80, 5, 128, 133
537012.5.peg.2236.site.81, 2, 123, 125
537012.5.peg.2236.site.82, 6, 122, 128
537012.5.peg.2236.site.83, 5, 124, 129
537012.5.peg.2236.site.84, 1, 121, 122
537012.5.peg.2236.site.85, 5, 121, 126
537012.5.peg.2236.site.86, 2, 120, 122
537012.5.peg.2236.site.87, 3, 120, 123
537012.5.peg.2236.site.88, 1, 121, 122
537012.5.peg.2236.site.89, 0, 121, 121
537012.5.peg.2236.site.90, 3, 123, 126
537012.5.peg.2236.site.91, 5, 123, 128
537012.5.peg.2236.site.92, 1, 122, 123
537012.5.peg.2236.site.93, 1, 122, 123
537012.5.peg.2236.site.94, 2, 119, 121
537012.5.peg.2236.site.95, 5, 114, 119
537012.5.peg.2236.site.96, 1, 111, 112
537012.5.peg.2236.site.97, 24, 105, 129
537012.5.peg.2236.site.98, 1, 109, 110
537012.5.peg.2236.site.99, 2, 111, 113
537012.5.peg.2236.site.100, 2, 113, 115
537012.5.peg.2236.site.101, 7, 113, 120
537012.5.peg.2231.site.1, 79, 131, 210
537012.5.peg.2231.site.2, 5, 131, 136
537012.5.peg.2231.site.3, 4, 133, 137
537012.5.peg.2231.site.4, 2, 131, 133
537012.5.peg.2231.site.5, 4, 133, 137
537012.5.peg.2231.site.6, 12, 134, 146
537012.5.peg.2231.site.7, 2, 134, 136
