site, alts, refs, total
1121098.7.peg.3435.site.1, 5, 120, 125
1121098.7.peg.3435.site.2, 5, 121, 126
1121098.7.peg.3435.site.3, 7, 105, 112
1121098.7.peg.3435.site.4, 5, 53, 58
1121098.7.peg.3435.site.5, 17, 59, 76
1121098.7.peg.3435.site.6, 1, 58, 59
1121098.7.peg.3435.site.7, 3, 57, 60
1121098.7.peg.3435.site.8, 3, 49, 52
1121098.7.peg.3435.site.9, 2, 44, 46
1121098.7.peg.3435.site.10, 0, 35, 35
1121098.7.peg.3435.site.11, 1, 36, 37
1121098.7.peg.3435.site.12, 3, 16, 19
1121098.7.peg.3435.site.13, 0, 21, 21
1121098.7.peg.3435.site.14, 0, 14, 14
1121098.7.peg.3435.site.15, 0, 12, 12
1121098.7.peg.3435.site.16, 0, 10, 10
1121098.7.peg.3435.site.17, 0, 12, 12
1121098.7.peg.3435.site.18, 0, 27, 27
1121098.7.peg.3435.site.19, 0, 35, 35
1121098.7.peg.3435.site.20, 0, 60, 60
1121098.7.peg.3435.site.21, 8, 66, 74
1121098.7.peg.3435.site.22, 0, 78, 78
1121098.7.peg.3435.site.23, 0, 36, 36
1121098.7.peg.3435.site.24, 11, 27, 38
1121098.7.peg.3435.site.25, 0, 22, 22
1121098.7.peg.3435.site.26, 2, 16, 18
1121098.7.peg.3435.site.27, 1, 15, 16
1121098.7.peg.3435.site.28, 3, 17, 20
1121098.7.peg.3435.site.29, 0, 26, 26
1121098.7.peg.3435.site.30, 2, 20, 22
1121098.7.peg.3435.site.31, 1, 12, 13
1121098.7.peg.3435.site.32, 1, 64, 65
1121098.7.peg.3435.site.33, 0, 68, 68
1121098.7.peg.3435.site.34, 0, 71, 71
1121098.7.peg.3435.site.35, 2, 67, 69
1121098.7.peg.3435.site.36, 14, 69, 83
1121098.7.peg.3435.site.37, 0, 68, 68
1121098.7.peg.3435.site.38, 1, 68, 69
1121098.7.peg.3435.site.39, 0, 117, 117
1121098.7.peg.3435.site.40, 1, 119, 120
1121098.7.peg.3435.site.41, 0, 60, 60
1121098.7.peg.3435.site.42, 0, 38, 38
1121098.7.peg.3435.site.43, 0, 42, 42
1121098.7.peg.3435.site.44, 0, 39, 39
1121098.7.peg.3435.site.45, 1, 47, 48
1121098.7.peg.3435.site.46, 0, 35, 35
1121098.7.peg.3435.site.47, 4, 10, 14
1121098.7.peg.3435.site.48, 1, 7, 8
1121098.7.peg.3434.site.1, 0, 125, 125
1121098.7.peg.3434.site.2, 0, 126, 126
1121098.7.peg.3434.site.3, 0, 125, 125
1121098.7.peg.3434.site.4, 2, 124, 126
1121098.7.peg.3434.site.5, 62, 126, 188
1121098.7.peg.3437.site.1, 3, 126, 129
1121098.7.peg.3437.site.2, 2, 124, 126
1121098.7.peg.3437.site.3, 0, 126, 126
1121098.7.peg.3437.site.4, 0, 126, 126
1121098.7.peg.3437.site.5, 0, 126, 126
1121098.7.peg.3437.site.6, 0, 123, 123
1121098.7.peg.3437.site.7, 11, 125, 136
1121098.7.peg.3437.site.8, 0, 125, 125
1121098.7.peg.3437.site.9, 0, 125, 125
1121098.7.peg.3437.site.10, 46, 125, 171
1121098.7.peg.3437.site.11, 1, 125, 126
1121098.7.peg.3437.site.12, 4, 125, 129
1121098.7.peg.3437.site.13, 0, 126, 126
1121098.7.peg.3437.site.14, 69, 126, 195
1121098.7.peg.3437.site.15, 23, 125, 148
