Recombination percentile,Remaining sites
0.0,633106
0.01,633106
0.02,633106
0.03,633106
0.04,633106
0.05,633106
0.06,633106
0.07,633106
0.08,633106
0.09,633106
0.1,633106
0.11,633106
0.12,621187
0.13,621187
0.14,575971
0.15,575971
0.16,575971
0.17,575971
0.18,575971
0.19,575971
0.2,575971
0.21,575971
0.22,515493
0.23,515493
0.24,515493
0.25,515493
0.26,515493
0.27,515493
0.28,515493
0.29,575971
0.3,515493
0.31,514287
0.32,422764
0.33,422764
0.34,422764
0.35000000000000003,422764
0.36,422764
0.37,422764
0.38,422764
0.39,422764
0.4,422764
0.41000000000000003,422764
0.42,422764
0.43,422764
0.44,384829
0.45,384829
0.46,384829
0.47000000000000003,384829
0.48,384716
0.49,381298
0.5,354504
0.51,381298
0.52,354473
0.53,341387
0.54,341387
0.55,331613
0.56,330358
0.5700000000000001,324000
0.58,320022
0.59,319861
0.6,284894
0.61,284894
0.62,284894
0.63,284894
0.64,284894
0.65,284894
0.66,231267
0.67,231267
0.68,231267
0.6900000000000001,231267
0.7000000000000001,231267
0.71,231267
0.72,231267
0.73,178376
0.74,178376
0.75,178376
0.76,178376
0.77,178376
0.78,178376
0.79,142452
0.8,142452
0.81,142452
0.8200000000000001,142452
0.8300000000000001,142452
0.84,123347
0.85,123347
0.86,89296
0.87,89296
0.88,89296
0.89,89296
0.9,65568
0.91,65568
0.92,65568
0.93,52934
0.9400000000000001,52934
0.9500000000000001,36298
0.96,29313
0.97,29313
0.98,19507
0.99,9063
1.0,0
