"","species","sporulation_mean_s","sporulation_n_anc","sporulation_mean_2ns","sporulation_proportion_neutrality","sporulation_shape"
"1","Akkermansia_muciniphila_55290",1.2821427067639e-07,60706518.6841822,15.5668840367902,0.97636,0.192272035
"2","Alistipes_finegoldii_56071",0.109709835781958,93247386.0752198,20460310.8268185,0.55919,0.03626693
"3","Bacteroides_caccae_53434",2.82937795743762e-05,5309030.06221444,300.425052668064,0.25959,0.325417215
"4","Bacteroides_coprocola_61586",2.45571282720278e-06,13094005.7253638,64.3102356384851,0.51182,0.41564927
"5","Bacteroides_fragilis_54507",7.86933920585319e-05,6514030.18722762,1025.22226280923,0.18407,0.33008569
"6","Bacteroides_ovatus_58035",1.58995793211829e-08,13163463.6278707,0.418587068185672,1,356.414426
"7","Bacteroides_plebeius_61623",0.0317720982555407,36404411.197795,2313289.05902289,0.04346,0.27643734
"8","Bacteroides_thetaiotaomicron_56941",0.17694528517725,172326162.107247,60984603.7951356,0.30624,0.07777606
"9","Bacteroides_uniformis_57318",0.504827098470811,4249496.00870165,4290521.48007229,0.099,0.124705587
"10","Bacteroides_vulgatus_57955",0.596613186076095,5742803.55296246,6852464.6494841,0.03472,0.18858411
"11","Bacteroides_xylanisolvens_57185",0.000554647820666034,15939387.6519709,17681.4932478335,0.19969,0.21767974
"12","Coprococcus_sp_62244",0.000857086043698308,11134229.2801815,19085.9850467612,0.19786,0.20383561
"13","Eubacterium_eligens_61678",0.586626699718239,6856174.85285988,8044030.45324874,0.05415,0.159533555
"14","Eubacterium_rectale_56927",0.478641083510464,21228865.23902,20322014.1194044,0.06465,0.16247054
"15","Eubacterium_siraeum_57634",0.022121114124579,27928764.5879597,1235630.77761751,0.12772,0.18277258
"16","Faecalibacterium_prausnitzii_57453",1.64562805358373e-06,16793969.0674219,55.2732532567338,0.67561,0.238210698
"17","Faecalibacterium_prausnitzii_62201",5.60851974237062e-09,18501377.0047131,0.207530676383951,1,222.174947
"18","Faecalibacterium_prausnitzii_61481",2.57117530828426e-07,16461411.4723103,8.4650349434223,0.93,0.245530646
"19","Parabacteroides_distasonis_56985",0.000863726390738967,167476115.945004,289307.082320319,0.29006,0.15091082
"20","Parabacteroides_merdae_56972",2.06425364204174e-05,82811693.0692673,3418.88678043755,0.40718,0.217527933
"21","Prevotella_copri_61740",0.488020548108053,25103189.8007803,24501744.8916745,0.06382,0.16076656
"22","Roseburia_intestinalis_56239",4.65801710249102e-08,3311935.42703999,0.308541037229964,1,205.713221
"23","Roseburia_inulinivorans_61943",4.18569818006642e-06,13373278.9558881,111.953018774363,0.55036,0.236655077
"24","Ruminococcus_bromii_62047",0.509006759481022,15636820.1881803,15918494.3451461,0.06892,0.15149783
