Species (MIDAS),Mean s,% weakly deleterious,%  moderately deleterious,%  highly deleterious,% lethal
Bacteroidales bacterium,6.43E-08,100.00%,0.00%,0.00%,0.00%
Alistipes putredinis,7.74E-02,80.11%,8.52%,3.91%,7.35%
Alistipes finegoldii,2.30E-01,35.96%,26.19%,16.28%,21.79%
Alistipes onderdonkii,8.24E-02,71.84%,13.97%,6.50%,7.66%
Alistipes shahii,5.02E-01,10.34%,21.50%,19.75%,48.74%
Odoribacter splanchnicus,4.52E-01,14.83%,23.22%,18.69%,43.87%
Parabacteroides distasonis,2.38E-02,9.33%,54.87%,35.98%,0.09%
Parabacteroides merdae,1.72E-04,29.75%,70.29%,0.00%,0.00%
Prevotella copri,4.31E-01,11.03%,24.75%,22.88%,41.20%
Bacteroides fragilis,3.43E-04,11.15%,88.68%,0.00%,0.00%
Bacteroides cellulosilyticus,5.59E-07,81.93%,18.12%,0.00%,0.00%
Bacteroides stercoris,2.93E-07,92.69%,7.24%,0.00%,0.00%
Bacteroides uniformis,6.57E-01,4.65%,14.58%,16.06%,64.45%
Bacteroides thetaiotaomicron,3.37E-01,15.35%,28.26%,24.23%,31.55%
Bacteroides xylanisolvens,8.62E-04,17.48%,81.68%,0.72%,0.00%
Bacteroides caccae,7.65E-06,38.63%,61.09%,0.00%,0.00%
Bacteroides vulgatus,1.94E-03,16.61%,78.68%,4.82%,0.00%
Barnesiella intestinihominis,1.62E-07,98.48%,1.49%,0.00%,0.00%
Akkermansia muciniphila,2.23E-07,93.89%,6.17%,0.00%,0.00%
Dialister invisus,3.67E-02,12.60%,50.22%,36.42%,0.68%
Phascolarctobacterium species,7.81E-06,36.68%,63.24%,0.00%,0.00%
Eubacterium eligens,5.40E-01,6.41%,19.93%,21.20%,52.44%
Eubacterium rectale,4.80E-01,7.75%,22.43%,23.52%,46.05%
Oscillibacter species,3.86E-01,17.27%,25.30%,20.07%,36.93%
Ruminococcus bromii,3.77E-02,16.15%,49.51%,33.58%,0.94%
Ruminococcus bicirculans,6.81E-01,2.67%,12.87%,17.60%,66.83%
Faecalibacterium prausnitzii,1.73E-05,40.99%,58.60%,0.00%,0.00%
