Species,"num_sig outside genera, s","num_sig within genera, s","num_sig outside genera, 2Na*s","num_sig within genera, 2Na*s"
Bacteroidales bacterium,10,0,4,0
Alistipes putredinis,15,0,22,1
Alistipes finegoldii,15,0,12,0
Alistipes onderdonkii,23,1,20,1
Alistipes shahii,10,1,4,2
Odoribacter splanchnicus,15,0,6,0
Parabacteroides distasonis,16,0,10,1
Parabacteroides merdae,21,0,7,1
Prevotella copri,16,0,9,0
Bacteroides fragilis,17,5,12,2
Bacteroides cellulosilyticus,15,3,17,3
Bacteroides stercoris,15,2,13,2
Bacteroides uniformis,5,6,2,2
Bacteroides thetaiotaomicron,13,4,8,6
Bacteroides xylanisolvens,11,2,4,2
Bacteroides caccae,15,3,13,1
Bacteroides vulgatus,7,3,3,2
Barnesiella intestinihominis,17,0,0,0
Akkermansia muciniphila,13,0,8,0
Dialister invisus,13,0,6,0
Phascolarctobacterium species,21,0,13,0
Eubacterium eligens,10,0,4,0
Eubacterium rectale,14,0,10,0
Oscillibacter species,16,0,8,0
Ruminococcus bromii,12,0,7,0
Ruminococcus bicirculans,14,0,8,0
Faecalibacterium prausnitzii,13,0,6,0
