NCBI_ID, midas_species
239935, Akkermansia_muciniphila_55290
214856, Alistipes_finegoldii_56071
328813, Alistipes_onderdonkii_55464
28117, Alistipes_putredinis_61533
328814, Alistipes_shahii_62199
2030927, Bacteroidales_bacterium_58650
47678, Bacteroides_caccae_53434
246787, Bacteroides_cellulosilyticus_58046
817, Bacteroides_fragilis_54507
204516, Bacteroides_massiliensis_44749
28116, Bacteroides_ovatus_58035
46506, Bacteroides_stercoris_56735
818, Bacteroides_thetaiotaomicron_56941
820, Bacteroides_uniformis_57318
821, Bacteroides_vulgatus_57955
371601, Bacteroides_xylanisolvens_57185
487174, Barnesiella_intestinihominis_62208
t46086, Coprococcus_sp_62244
218538, Dialister_invisus_61905
t45858, Eubacterium_eligens_61678
t45858, Eubacterium_rectale_56927
853, Faecalibacterium_prausnitzii_57453
28118, Odoribacter_splanchnicus_62174
1945593, Oscillibacter_sp_60799
823, Parabacteroides_distasonis_56985
46503, Parabacteroides_merdae_56972
2049039, Phascolarctobacterium_sp_59817
165179, Prevotella_copri_61740
1160721, Ruminococcus_bicirculans_59300
40518, Ruminococcus_bromii_62047
