species, nu, time_low, time_high
Akkermansia muciniphila,4.29E-01,1.30E+05,2.21E+05
Alistipes finegoldii,2.28E-01,7.40E+05,1.26E+06
Alistipes onderdonkii,1.70E-01,3.94E+05,6.70E+05
Alistipes putredinis,5.03047242,372167.2962,632137.0988
Alistipes shahii,1.08E+03,1.14E+04,1.94E+04
Bacteroidales bacterium,0.62746616,95123.17585,1.62E+05
Bacteroides caccae,1.75E+00,4.03E+04,6.84E+04
Bacteroides cellulosilyticus,2.39E+00,5.18E+05,8.79E+05
Bacteroides fragilis,3.60E+00,9.08E+04,1.54E+05
Bacteroides ovatus,3.39E-06,6.96E-02,1.18E-01
Bacteroides stercoris,4.81E+00,9.90E+05,1.68E+06
Bacteroides thetaiotaomicron,2.70E-01,1.60E+06,2.71E+06
Bacteroides uniformis,3.29E+00,9.48E+05,1.61E+06
Bacteroides vulgatus,2.60E+03,7.37E+03,1.25E+04
Bacteroides xylanisolvens,7.60E-01,1.35E+05,2.28E+05
Barnesiella intestinihominis,0.49893253,28412.88213,48260.11598
Dialister invisus,1.44E+03,1.22E+04,2.08E+04
Eubacterium eligens,1.85E+00,1.50E+06,2.55E+06
Eubacterium rectale,1.63E+00,2.85E+05,4.84E+05
Faecalibacterium prausnitzii,0.72112499,17046.86379,28954.59953
Odoribacter splanchnicus,0.88191563,819742.7252,1392357.129
Oscillibacter species,2.98E+02,2.19E+04,3.72E+04
Parabacteroides distasonis,0.87930973,194727.2045,330749.8841
Parabacteroides merdae,1.50E-01,1.78E+06,3.02E+06
Phascolarctobacterium species,2.90E+00,1.26E+05,2.14E+05
Prevotella copri,3.31E+00,1.48E+05,2.51E+05
Ruminococcus bicirculans,8.33E+00,6.81E+05,1.16E+06
Ruminococcus bromii,2.53E+00,2.90E+05,4.93E+05
