Recombination percentile,Remaining sites
0.0,1453377
0.01,1445779
0.02,1433982
0.03,1400710
0.04,1400710
0.05,1400710
0.06,1371346
0.07,1371346
0.08,1331362
0.09,1331362
0.1,1331362
0.11,1295727
0.12,1295727
0.13,1295727
0.14,1248063
0.15,1248063
0.16,1248063
0.17,1248063
0.18,1209357
0.19,1209357
0.2,1209357
0.21,1170418
0.22,1170418
0.23,1170418
0.24,1123932
0.25,1123932
0.26,1123932
0.27,1081966
0.28,1081966
0.29,1081966
0.3,1026801
0.31,1026801
0.32,1026801
0.33,1026801
0.34,981231
0.35000000000000003,981231
0.36,981231
0.37,948639
0.38,948639
0.39,899900
0.4,899900
0.41000000000000003,899900
0.42,865214
0.43,865214
0.44,865214
0.45,818329
0.46,818329
0.47000000000000003,786043
0.48,786043
0.49,759230
0.5,759230
0.51,729602
0.52,711829
0.53,711829
0.54,690785
0.55,678188
0.56,656051
0.5700000000000001,642501
0.58,633419
0.59,617796
0.6,608263
0.61,594676
0.62,578585
0.63,559949
0.64,553103
0.65,528686
0.66,512927
0.67,495892
0.68,493251
0.6900000000000001,477076
0.7000000000000001,460013
0.71,446479
0.72,430667
0.73,421514
0.74,400306
0.75,379882
0.76,366563
0.77,348162
0.78,342437
0.79,332577
0.8,319134
0.81,287754
0.8200000000000001,279927
0.8300000000000001,261217
0.84,250443
0.85,235713
0.86,224192
0.87,210429
0.88,194275
0.89,182592
0.9,169120
0.91,147391
0.92,135602
0.93,125896
0.9400000000000001,96334
0.9500000000000001,92635
0.96,72626
0.97,50844
0.98,35206
0.99,19094
1.0,0
