700038918	70628
700105000	6498170
700106946	7975718
700095831	10294240
700034838	11773620
700033363	10203626
700095524	11635766
700108341	9681088
700034622	11569026
700097631	23559470
700013597	23180078
700101134	8327736
700098932	30923094
700034081	10201720
700038284	27653116
700105517	24883332
700034565	28992956
700109506	10434040
700024866	29068836
700095410	34945874
700105787	34711418
700033436	37439246
700095287	45482926
700099059	44850492
700032068	12833946
700108218	39055038
700105312	45660410
700032413	10374182
700107489	10815954
700037008	40158916
700023603	41293862
700102848	8972814
700110222	9491950
700095353	47899254
700108896	9529204
700033201	12903434
700105991	40513492
700016210	11004040
700037090	64465092
700014386	44271002
700106504	57573524
700106754	43964078
700038493	42459500
700109921	11000718
700014486	26781814
700035373	38796464
700037967	49156880
700038167	46763320
700111986	10835698
700098359	25288960
700111745	11566882
700113954	6627696
700110089	40555482
700013693	23841900
700095058	40424284
700098429	20745022
700013588	31999512
700021295	39686580
700037916	62187712
700014498	27932560
700111439	47265130
700097234	32139082
700023188	20070826
700113177	49759566
700098267	100955032
700016000	41854510
700014562c	91687196
700024673	82996998
700106170	87322984
700037123c	91470694
700099590	36067274
700023872c	134576816
700109621	87360086
700105306	106796512
700023066	44201454
700024234	44396888
700112433	49898792
700034166	105600608
700114000	64497710
700097973	31289554
700116296	39811730
700098867	41437588
700032944	102270690
700106056	93398542
700013600	28701686
700105882	48174912
700101581	109147520
700038761	110822588
700105237c	135109484
700111026	22166702
700015415	121158898
700016902	43547984
700016765	109474518
700105372	110225992
700033665	109314722
700106412	36383104
700024349	48014148
700108161c	113036218
700103477c	136837564
700033726	34512272
700097482	69122158
700116730	51422264
700107189	134774174
700105580c	147895462
700106694c	133472890
700033502c	120578646
700037757	53551438
700038414	107707628
700013603	39468100
700116865	45541304
700122000	9181436
700016542c	147308582
700121639	10131382
700038870c	141400822
700034794	91182430
700119307	9536878
700100022	49354938
700024752	106857990
700023390	55638090
700106876c	108392140
700023720c	141870068
700110419	106425244
700106836c	154233066
700038546	58740852
700013672	30867226
700037649	46911382
700021123	58751518
700037042c	181341408
700037501c	133133976
700016610c	144113050
700100227c	162428632
700037405	42282828
700038702	72575794
700106229c	158060090
700099746	40594898
700037303	49925632
700015181c	165815450
700123700	45080868
700015113c	144354610
700103652c	174762164
700116076	43525676
700023634c	141505814
700120572	57580462
700114218	31456072
700109564c	145254390
700038594c	186797784
700033153c	147471226
700016142c	70291266
700123135	46016342
700161429	40125354
700095717	43909160
700114162	35920162
700163296	24411200
700114480	113753708
700105685	52641176
700114911	42507590
700038072c	177544464
700015981	122041434
700161533	38852818
700161581	39775726
700109383	74737596
700038806c	150404344
700165665	82380
700161967	35376682
700163238	46712296
700122165c	67468770
700161342	58145984
700116778c	125418532
700014954	83351784
700121919	32357102
700117184	40881122
700038472	73139036
700102586c	167839340
700113114	57719354
700166025	10726498
700105153	56086242
700037868c	163329418
700123827	82272742
700102905	47948420
700164249	40916972
700123959	91473354
700119562	90570058
700117303	32290218
700124561	23687882
700167759	27722376
700116248	44244044
700037357	51151988
700164417	61485166
700165530	45060442
700038386	55042664
700102043	98102758
700164339	73315804
700165875	41825556
700164735	65615016
700116468	174075090
700163811	82761632
700123562	114161656
700172069	10112060
700122860	26558318
700166862	48908348
700117828c	143877708
700032133c	241961552
700038956	62024374
700014724	222847200
700024141	55036286
700037632	92979070
700167107	43950714
700113705	41956062
700122042	57444160
700117992	153772760
700171190	58580406
700163982	30607532
700171574	43528164
700171390	17997920
700163981	97612286
700099002	41915598
700124429	27454488
700117755	166582800
700105613	56820332
