Species, Watterson's theta, expected heterozygosity, Tajima's D
Bacteroidales_bacterium_58650, 4443.882540869429, 4634.949425287414, 0.1952144110586585
Alistipes_putredinis_61533, 2821.6874173246492, 2319.482051282052, -0.8080340699486398
Alistipes_finegoldii_56071, 5695.301460163102, 6109.302325581411, 0.3300545400852826
Alistipes_onderdonkii_55464, 6610.2590085652755, 7381.508196721279, 0.5297651638850742
Alistipes_shahii_62199, 3912.5103539169227, 3844.8959899749966, -0.07846301257783143
Odoribacter_splanchnicus_62174, 2559.548424764523, 2575.7548387096977, 0.028745633346005578
Parabacteroides_distasonis_56985, 10255.72346322814, 10396.218623481893, 0.06220358789697125
Parabacteroides_merdae_56972, 5789.633385233391, 5974.459930313714, 0.14494898004619058
Prevotella_copri_61740, 12337.845833264251, 10815.065934065935, -0.560431083996881
Bacteroides_fragilis_54507, 6646.750664588266, 6003.855172413861, -0.43917574900463674
Bacteroides_cellulosilyticus_58046, 9927.050180996146, 9188.691622103515, -0.33772769502568173
Bacteroides_stercoris_56735, 9562.475973645542, 9123.272463768557, -0.2085518663087465
Bacteroides_uniformis_57318, 2701.676850402451, 2589.0558674151657, -0.1892514730056119
Bacteroides_thetaiotaomicron_56941, 11720.189327486178, 12015.223310023477, 0.11430383014118219
Bacteroides_xylanisolvens_57185, 5445.729140074663, 5598.14625850342, 0.12707991360920728
Bacteroides_caccae_53434, 4315.783271962277, 4197.853832442128, -0.12406520271674784
Bacteroides_vulgatus_57955, 2871.3012198501915, 2842.489479512691, -0.045556407306538683
Barnesiella_intestinihominis_62208, 9869.806093712252, 10215.921768707509, 0.15923263571396912
Akkermansia_muciniphila_55290, 8193.623681833478, 8859.76449275366, 0.3691512710186699
Dialister_invisus_61905, 7303.886787364577, 7160.998319327839, -0.08882880763441836
Phascolarctobacterium_sp_59817, 4077.794939410629, 3665.5, -0.45905706948028546
Eubacterium_eligens_61678, 5047.129174481625, 5004.115942029008, -0.038694861525843276
Eubacterium_rectale_56927, 10638.377554388397, 10058.601978690775, -0.24746042369622606
Oscillibacter_sp_60799, 5803.920220320015, 5594.828019323728, -0.16357554912490654
Ruminococcus_bromii_62047, 7799.83257068395, 6958.184873949684, -0.4899569071572623
Ruminococcus_bicirculans_59300, 13714.762094529902, 12056.667080745912, -0.5489686633522034
Faecalibacterium_prausnitzii_57453, 12906.43773713476, 13035.078817734178, 0.04525833635660799
