species, cohort, average_pi,num_sites, num_samples, across_pi
Alistipes_shahii_62199, HMP,0.000768119,1247298,269,9.84E-06
Bacteroides_stercoris_56735, HMP,0.002040553,45694,219,1.06E-05
Alistipes_onderdonkii_55464, HMP,0.001864049,74800,217,8.93E-06
Oscillibacter_sp_60799, HMP,0.007757374,24837,215,1.90E-05
Odoribacter_splanchnicus_62174, HMP,0.002053426,14964,214,9.33E-06
Faecalibacterium_cf_62236, HMP,0.003442959,3650,195,3.00E-05
Faecalibacterium_prausnitzii_62201, HMP,0.0132113,353176,192,3.43E-05
Faecalibacterium_prausnitzii_57453, HMP,0.00414114,220162,191,3.11E-05
Alistipes_finegoldii_56071, HMP,0.001826073,155150,187,1.15E-05
Ruminococcus_bicirculans_59300, HMP,0.012676839,3729,168,1.23E-05
Faecalibacterium_prausnitzii_61481, HMP,0.001187206,1165797,166,2.65E-05
Ruminococcus_bromii_62047, HMP,0.003839295,99966,165,1.23E-05
Bacteroides_fragilis_54507, HMP,0.001520581,114530,159,1.14E-05
Bacteroidales_bacterium_58650, HMP,0.001390675,12885,155,1.15E-05
Barnesiella_intestinihominis_62208, HMP,0.000759801,29647,153,1.26E-05
Phascolarctobacterium_sp_59817, HMP,0.00146759,8957,147,1.38E-05
Eubacterium_eligens_61678, HMP,0.000553625,1566032,143,1.84E-05
Bacteroides_cellulosilyticus_58046, HMP,0.000563905,4888204,136,1.33E-05
Bacteroides_massiliensis_44749, HMP,0.000576141,2780151,128,1.75E-05
Roseburia_inulinivorans_61943, HMP,0.005822159,308866,128,3.51E-05
Dialister_invisus_61905, HMP,0.000629364,350270,126,1.93E-05
Prevotella_copri_61740, African,0.018137005,1048052,115,0.000111276
Oscillospiraceae_bacterium_54867, HMP,0.002254991,1028,113,3.62E-05
Roseburia_intestinalis_56239, HMP,0.005896418,52753,111,2.51E-05
Akkermansia_muciniphila_55290, HMP,0.000452508,2265775,97,1.91E-05
Burkholderiales_bacterium_56577, HMP,0.000571527,688488,88,4.50E-05
Eubacterium_rectale_56927, African,0.000930974,2077232,85,7.10E-05
Lachnospiraceae_bacterium_51870, HMP,0.004276536,272982,85,3.38E-05
