"","Var1","Freq"
"1","Akkermansia_muciniphila_55290",97
"2","Alistipes_finegoldii_56071",187
"3","Alistipes_indistinctus_62207",26
"4","Alistipes_shahii_62199",269
"5","Alistipes_sp_59510",44
"6","Alistipes_sp_60764",28
"7","Anaerostipes_hadrus_55206",21
"8","Bacteroidales_bacterium_58650",155
"9","Bacteroides_caccae_53434",228
"10","Bacteroides_cellulosilyticus_58046",136
"11","Bacteroides_coprocola_61586",24
"12","Bacteroides_eggerthii_54457",40
"13","Bacteroides_faecis_58503",62
"14","Bacteroides_finegoldii_57739",76
"15","Bacteroides_fragilis_54507",159
"16","Bacteroides_intestinalis_61596",41
"17","Bacteroides_massiliensis_44749",128
"18","Bacteroides_salyersiae_54873",31
"19","Bacteroides_stercoris_56735",219
"20","Barnesiella_intestinihominis_62208",153
"21","Blautia_wexlerae_56130",83
"22","Burkholderiales_bacterium_56577",88
"23","Butyricimonas_virosa_58742",67
"24","Butyrivibrio_crossotus_61674",23
"25","Clostridiales_bacterium_56470",37
"26","Coprococcus_comes_61587",44
"27","Coprococcus_sp_62244",37
"28","Dialister_invisus_61905",126
"29","Eubacterium_eligens_61678",143
"30","Eubacterium_siraeum_57634",80
"31","Eubacterium_ventriosum_61474",34
"32","Faecalibacterium_cf_62236",195
"33","Faecalibacterium_prausnitzii_57453",191
"34","Faecalibacterium_prausnitzii_61481",166
"35","Faecalibacterium_prausnitzii_62201",192
"36","Lachnospiraceae_bacterium_51870",85
"37","Oscillibacter_sp_60799",215
"38","Oscillospiraceae_bacterium_54867",113
"39","Phascolarctobacterium_sp_59817",147
"40","Prevotella_copri_61740",64
"41","Roseburia_hominis_61877",40
"42","Roseburia_intestinalis_56239",111
"43","Roseburia_inulinivorans_61943",128
"44","Ruminococcus_bicirculans_59300",168
"45","Ruminococcus_bromii_62047",165
"46","Ruminococcus_gnavus_57638",23
"47","Ruminococcus_lactaris_55568",32
"48","Ruminococcus_torques_62045",60
"49","Subdoligranulum_sp_62068",58
"50","Sutterella_wadsworthensis_56828",76
"51","Sutterella_wadsworthensis_62118",41
