"species","Cohort","average_pi","num_sites","num_samples","aggregate_across_pi","pairwise_across_pi"
"Actinomyces_turicensis_62420"," African",0.000321715651012,170328,1,0.0445315993277,0.0445315993277
"Alistipes_indistinctus_62207"," HMP",0.00262433867554,8356,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00149376606401,2100821,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00133979147464,5625,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00314934143206,1965347,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00155845667105,2685,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00260066991253,22583,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.0023220577459,253975,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00317736210763,2209,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00148075624912,2530543,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00537260807233,133324,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.000764041035571,14617,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.000763031232939,80798,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00115200639126,2072927,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00329162900591,143,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00457273102662,27733,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.0025310664215,2714362,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00335784962691,2413,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00209025626575,25384,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00130908987384,65198,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00124620607457,10162,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.000620874489137,819259,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00155213087642,5453,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00063345228915,1249468,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00148011358993,8799,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.000641891671894,348175,26,0.0139162309829,0.0124237697844
"Alistipes_indistinctus_62207"," HMP",0.00118626527162,2642837,26,0.0139162309829,0.0124237697844
"Alistipes_shahii_62199"," HMP",0.000768119437093,1247298,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.000569183843929,1797865,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.00385952578643,1812,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.000467315854354,1617342,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.00220346296147,16660,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.000941568945533,1481506,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.00854604591426,1804128,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.000625388130699,179507,269,0.0120165373391,0.0121366106251
"Alistipes_shahii_62199"," HMP",0.000531799072564,2431561,269,0.0120165373391,0.0121366106251
