species_id	pangenome_size	covered_genes	fraction_covered	mean_coverage	marker_coverage	aligned_reads	mapped_reads
Streptococcus_mitis_60474	1891	1743	0.921734531994	9.401727577479905	7.483935742971885	187458	153947
Streptococcus_mitis_61876	2026	1782	0.879565646594	8.808451826509856	4.3433734939759026	189640	143319
Streptococcus_mitis_61874	1895	1767	0.932453825858	8.62186523875215	4.772444444444444	173682	135181
Streptococcus_mitis_60473	1926	1752	0.909657320872	13.634950950971131	4.142581888246628	286434	234475
Streptococcus_mitis_60170	1958	1742	0.889683350358	6.798868438385168	2.5025125628140703	150689	105737
Streptococcus_mitis_60172	2076	1940	0.934489402697	9.504912800338618	3.217292377701934	205312	168892
Gemella_haemolysans_61762	1713	1543	0.90075890251	32.34172169347956	40.33982683982689	999238	501560
Streptococcus_mitis_61110	2013	1766	0.877297565822	8.751616810751408	3.3975903614457823	224100	153490
Haemophilus_paraphrohaemolyticus_58563	2024	1855	0.916501976285	9.838895564128405	7.780952380952378	277769	174345
Streptococcus_mitis_61104	1965	1774	0.902798982188	8.952553625658224	5.608974358974356	182559	145838
Streptococcus_mitis_61105	2031	1801	0.886755292959	12.167608706889794	6.508547008547011	300384	225877
Streptococcus_pseudopneumoniae_58459	2273	1633	0.718433787945	6.19997095448016	1.9152215799614642	129082	92688
Streptococcus_mitis_58331	1854	1597	0.861380798274	8.243868758535674	6.014245014245017	156626	117681
Streptococcus_mitis_58288	3235	3071	0.949304482226	9.383551894450893	7.769076305220881	353254	279988
