Recombination percentile,Remaining sites
0.0,1574840
0.01,1574840
0.02,1574840
0.03,1574840
0.04,1574840
0.05,1487431
0.06,1487431
0.07,1487431
0.08,1487431
0.09,1487431
0.1,1487431
0.11,1487431
0.12,1392653
0.13,1392653
0.14,1392653
0.15,1392653
0.16,1392653
0.17,1392381
0.18,1388662
0.19,1336302
0.2,1336302
0.21,1260209
0.22,1260209
0.23,1260209
0.24,1260209
0.25,1260209
0.26,1170727
0.27,1170727
0.28,1170727
0.29,1170727
0.3,1170727
0.31,1099677
0.32,1170727
0.33,1099677
0.34,1099677
0.35000000000000003,1099677
0.36,1099677
0.37,1008800
0.38,1008800
0.39,1008800
0.4,1008800
0.41000000000000003,1008800
0.42,927273
0.43,927273
0.44,927273
0.45,927273
0.46,927273
0.47000000000000003,820448
0.48,820448
0.49,820448
0.5,820448
0.51,820448
0.52,820448
0.53,744934
0.54,744934
0.55,744934
0.56,744934
0.5700000000000001,744934
0.58,648020
0.59,648020
0.6,744934
0.61,648020
0.62,648020
0.63,648020
0.64,586002
0.65,586002
0.66,586002
0.67,552422
0.68,519831
0.6900000000000001,519831
0.7000000000000001,489268
0.71,489268
0.72,476232
0.73,450034
0.74,441030
0.75,416470
0.76,404150
0.77,387720
0.78,364558
0.79,352541
0.8,331418
0.81,327466
0.8200000000000001,307981
0.8300000000000001,292521
0.84,267935
0.85,264349
0.86,243080
0.87,228534
0.88,205604
0.89,198915
0.9,176153
0.91,162633
0.92,149385
0.93,123605
0.9400000000000001,103993
0.9500000000000001,96475
0.96,77736
0.97,60597
0.98,37510
0.99,22667
1.0,0
