Recombination percentile,Remaining sites
0.0,647179
0.01,647179
0.02,647179
0.03,647179
0.04,647179
0.05,647179
0.06,647179
0.07,647179
0.08,631596
0.09,631596
0.1,617527
0.11,617527
0.12,617527
0.13,598548
0.14,598548
0.15,598521
0.16,580562
0.17,580562
0.18,532735
0.19,532735
0.2,532735
0.21,532735
0.22,532735
0.23,532735
0.24,532735
0.25,532399
0.26,525600
0.27,523141
0.28,509103
0.29,509103
0.3,496844
0.31,496075
0.32,456378
0.33,456378
0.34,456378
0.35000000000000003,456378
0.36,456378
0.37,446397
0.38,436558
0.39,432039
0.4,428409
0.41000000000000003,419577
0.42,408155
0.43,408155
0.44,397947
0.45,379733
0.46,379733
0.47000000000000003,379733
0.48,372110
0.49,379733
0.5,366075
0.51,355406
0.52,350173
0.53,334695
0.54,330846
0.55,320657
0.56,314040
0.5700000000000001,312237
0.58,303993
0.59,299102
0.6,285733
0.61,285733
0.62,279829
0.63,275797
0.64,275797
0.65,255738
0.66,255738
0.67,246370
0.68,246370
0.6900000000000001,236722
0.7000000000000001,227919
0.71,227919
0.72,214580
0.73,201797
0.74,195305
0.75,184234
0.76,184234
0.77,184234
0.78,164442
0.79,164442
0.8,157173
0.81,146188
0.8200000000000001,136828
0.8300000000000001,127732
0.84,122377
0.85,112096
0.86,107664
0.87,107214
0.88,96488
0.89,88942
0.9,81516
0.91,66786
0.92,61643
0.93,56450
0.9400000000000001,52896
0.9500000000000001,43963
0.96,29958
0.97,24123
0.98,14659
0.99,8379
1.0,0
