Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	16	G	9	515620.4.peg.2198.site.1
-A-	---	A	0	G	25	515620.4.peg.2198.site.2
-A-	---	A	24	G	1	515620.4.peg.2198.site.3
-A-	---	A	24	G	0	515620.4.peg.2198.site.4
-A-	---	A	22	G	3	515620.4.peg.2198.site.5
-A-	---	A	0	G	25	515620.4.peg.2199.site.1
-A-	---	A	24	G	1	515620.4.peg.2199.site.2
-A-	---	A	22	G	3	515620.4.peg.2199.site.3
-A-	---	A	22	G	3	515620.4.peg.2199.site.4
-A-	---	A	0	G	25	515620.4.peg.2199.site.5
-A-	---	A	22	G	3	515620.4.peg.2199.site.6
-A-	---	A	25	G	0	515620.4.peg.1522.site.1
-A-	---	A	24	G	1	515620.4.peg.1522.site.2
-A-	---	A	19	G	6	515620.4.peg.1522.site.3
-A-	---	A	22	G	3	515620.4.peg.1522.site.4
-A-	---	A	21	G	4	515620.4.peg.1522.site.5
-A-	---	A	24	G	1	515620.4.peg.1522.site.6
-A-	---	A	24	G	1	515620.4.peg.1522.site.7
-A-	---	A	1	G	24	515620.4.peg.1522.site.8
-A-	---	A	0	G	24	515620.4.peg.1522.site.9
-A-	---	A	23	G	1	515620.4.peg.1522.site.10
-A-	---	A	23	G	1	515620.4.peg.1522.site.11
-A-	---	A	23	G	1	515620.4.peg.1522.site.12
-A-	---	A	1	G	23	515620.4.peg.1522.site.13
-A-	---	A	23	G	1	515620.4.peg.1522.site.14
-A-	---	A	1	G	22	515620.4.peg.1522.site.15
-A-	---	A	1	G	22	515620.4.peg.1522.site.16
-A-	---	A	0	G	0	515620.4.peg.1522.site.17
-A-	---	A	0	G	0	515620.4.peg.1522.site.18
-A-	---	A	5	G	2	515620.4.peg.1782.site.1
-A-	---	A	25	G	0	515620.4.peg.1782.site.2
-A-	---	A	7	G	18	515620.4.peg.1782.site.3
-A-	---	A	18	G	5	515620.4.peg.1782.site.4
-A-	---	A	15	G	1	515620.4.peg.1782.site.5
-A-	---	A	14	G	1	515620.4.peg.1782.site.6
-A-	---	A	7	G	4	515620.4.peg.1782.site.7
-A-	---	A	0	G	4	515620.4.peg.1782.site.8
-A-	---	A	1	G	1	515620.4.peg.1782.site.9
-A-	---	A	5	G	2	515620.4.peg.1782.site.10
-A-	---	A	0	G	3	515620.4.peg.1782.site.11
-A-	---	A	0	G	3	515620.4.peg.1783.site.1
-A-	---	A	17	G	3	515620.4.peg.1783.site.2
-A-	---	A	18	G	5	515620.4.peg.1783.site.3
-A-	---	A	19	G	4	515620.4.peg.1783.site.4
-A-	---	A	0	G	8	515620.4.peg.1783.site.5
-A-	---	A	0	G	3	515620.4.peg.1783.site.6
-A-	---	A	0	G	1	515620.4.peg.1783.site.7
-A-	---	A	24	G	1	515620.4.peg.2190.site.1
-A-	---	A	23	G	2	515620.4.peg.2190.site.2
-A-	---	A	21	G	4	515620.4.peg.2190.site.3
-A-	---	A	24	G	1	515620.4.peg.2190.site.4
-A-	---	A	24	G	1	515620.4.peg.2190.site.5
-A-	---	A	6	G	19	515620.4.peg.2190.site.6
-A-	---	A	24	G	1	515620.4.peg.2191.site.1
-A-	---	A	24	G	1	515620.4.peg.2191.site.2
-A-	---	A	24	G	1	515620.4.peg.2191.site.3
-A-	---	A	22	G	3	515620.4.peg.2191.site.4
-A-	---	A	2	G	23	515620.4.peg.2192.site.1
-A-	---	A	12	G	13	515620.4.peg.2192.site.2
-A-	---	A	22	G	2	515620.4.peg.2192.site.3
-A-	---	A	6	G	19	515620.4.peg.2192.site.4
-A-	---	A	21	G	4	515620.4.peg.2192.site.5
-A-	---	A	24	G	1	515620.4.peg.2192.site.6
-A-	---	A	25	G	0	515620.4.peg.2192.site.7
-A-	---	A	25	G	0	515620.4.peg.2192.site.8
-A-	---	A	24	G	1	515620.4.peg.2192.site.9
-A-	---	A	24	G	1	515620.4.peg.2192.site.10
-A-	---	A	23	G	2	515620.4.peg.1488.site.1
-A-	---	A	0	G	25	515620.4.peg.1488.site.2
-A-	---	A	3	G	22	515620.4.peg.1488.site.3
-A-	---	A	24	G	1	515620.4.peg.1488.site.4
-A-	---	A	21	G	1	515620.4.peg.1098.site.1
-A-	---	A	1	G	24	515620.4.peg.1098.site.2
-A-	---	A	22	G	3	515620.4.peg.1098.site.3
-A-	---	A	24	G	1	515620.4.peg.1098.site.4
-A-	---	A	24	G	1	515620.4.peg.1098.site.5
-A-	---	A	22	G	3	515620.4.peg.1098.site.6
-A-	---	A	8	G	17	515620.4.peg.1098.site.7
-A-	---	A	24	G	1	515620.4.peg.1098.site.8
-A-	---	A	1	G	24	515620.4.peg.1098.site.9
-A-	---	A	16	G	9	515620.4.peg.1098.site.10
-A-	---	A	4	G	21	515620.4.peg.1098.site.11
-A-	---	A	18	G	7	515620.4.peg.1098.site.12
-A-	---	A	20	G	5	515620.4.peg.1098.site.13
-A-	---	A	19	G	6	515620.4.peg.1098.site.14
-A-	---	A	1	G	24	515620.4.peg.1098.site.15
-A-	---	A	22	G	3	515620.4.peg.1098.site.16
-A-	---	A	20	G	5	515620.4.peg.1098.site.17
-A-	---	A	25	G	0	515620.4.peg.1098.site.18
-A-	---	A	2	G	23	515620.4.peg.1098.site.19
-A-	---	A	1	G	24	515620.4.peg.1098.site.20
-A-	---	A	1	G	24	515620.4.peg.1098.site.21
-A-	---	A	22	G	3	515620.4.peg.1098.site.22
-A-	---	A	1	G	23	515620.4.peg.1098.site.23
-A-	---	A	1	G	24	515620.4.peg.1098.site.24
-A-	---	A	1	G	24	515620.4.peg.1098.site.25
-A-	---	A	1	G	15	515620.4.peg.1789.site.1
-A-	---	A	1	G	15	515620.4.peg.1789.site.2
-A-	---	A	17	G	2	515620.4.peg.1789.site.3
-A-	---	A	19	G	1	515620.4.peg.1789.site.4
-A-	---	A	19	G	1	515620.4.peg.1789.site.5
-A-	---	A	23	G	2	515620.4.peg.1789.site.6
-A-	---	A	1	G	23	515620.4.peg.1789.site.7
-A-	---	A	22	G	2	515620.4.peg.1789.site.8
-A-	---	A	20	G	4	515620.4.peg.1789.site.9
-A-	---	A	24	G	1	515620.4.peg.1789.site.10
-A-	---	A	1	G	24	515620.4.peg.1789.site.11
-A-	---	A	19	G	6	515620.4.peg.1789.site.12
-A-	---	A	1	G	24	515620.4.peg.1789.site.13
-A-	---	A	20	G	5	515620.4.peg.2196.site.1
-A-	---	A	25	G	0	515620.4.peg.1146.site.1
-A-	---	A	24	G	1	515620.4.peg.1146.site.2
-A-	---	A	5	G	20	515620.4.peg.1146.site.3
-A-	---	A	24	G	1	515620.4.peg.1146.site.4
-A-	---	A	21	G	1	515620.4.peg.798.site.1
-A-	---	A	22	G	1	515620.4.peg.798.site.2
-A-	---	A	22	G	1	515620.4.peg.798.site.3
-A-	---	A	15	G	9	515620.4.peg.798.site.4
-A-	---	A	2	G	21	515620.4.peg.798.site.5
-A-	---	A	16	G	8	515620.4.peg.798.site.6
-A-	---	A	13	G	11	515620.4.peg.798.site.7
-A-	---	A	23	G	1	515620.4.peg.798.site.8
-A-	---	A	15	G	10	515620.4.peg.798.site.9
-A-	---	A	14	G	11	515620.4.peg.798.site.10
-A-	---	A	24	G	1	515620.4.peg.798.site.11
-A-	---	A	24	G	1	515620.4.peg.798.site.12
-A-	---	A	11	G	1	515620.4.peg.798.site.13
-A-	---	A	24	G	1	515620.4.peg.1144.site.1
-A-	---	A	22	G	3	515620.4.peg.1144.site.2
-A-	---	A	24	G	1	515620.4.peg.1144.site.3
-A-	---	A	18	G	7	515620.4.peg.1144.site.4
-A-	---	A	24	G	1	515620.4.peg.1144.site.5
-A-	---	A	24	G	1	515620.4.peg.1144.site.6
-A-	---	A	5	G	0	515620.4.peg.1144.site.7
-A-	---	A	4	G	1	515620.4.peg.1144.site.8
-A-	---	A	21	G	4	515620.4.peg.480.site.1
-A-	---	A	0	G	7	515620.4.peg.480.site.2
-A-	---	A	15	G	1	515620.4.peg.480.site.3
-A-	---	A	24	G	1	515620.4.peg.480.site.4
-A-	---	A	3	G	22	515620.4.peg.480.site.5
-A-	---	A	2	G	17	515620.4.peg.480.site.6
-A-	---	A	22	G	3	515620.4.peg.528.site.1
-A-	---	A	24	G	1	515620.4.peg.528.site.2
-A-	---	A	24	G	1	515620.4.peg.528.site.3
-A-	---	A	1	G	24	515620.4.peg.528.site.4
-A-	---	A	25	G	0	515620.4.peg.528.site.5
-A-	---	A	24	G	1	515620.4.peg.528.site.6
-A-	---	A	0	G	25	515620.4.peg.486.site.1
-A-	---	A	17	G	8	515620.4.peg.486.site.2
-A-	---	A	24	G	1	515620.4.peg.486.site.3
-A-	---	A	24	G	1	515620.4.peg.485.site.1
-A-	---	A	24	G	1	515620.4.peg.485.site.2
-A-	---	A	22	G	3	515620.4.peg.485.site.3
-A-	---	A	3	G	22	515620.4.peg.485.site.4
-A-	---	A	4	G	21	515620.4.peg.485.site.5
-A-	---	A	8	G	17	515620.4.peg.485.site.6
-A-	---	A	24	G	1	515620.4.peg.485.site.7
-A-	---	A	20	G	5	515620.4.peg.485.site.8
-A-	---	A	24	G	1	515620.4.peg.485.site.9
-A-	---	A	0	G	25	515620.4.peg.485.site.10
-A-	---	A	23	G	2	515620.4.peg.1486.site.1
-A-	---	A	0	G	25	515620.4.peg.1486.site.2
-A-	---	A	24	G	1	515620.4.peg.1486.site.3
-A-	---	A	19	G	6	515620.4.peg.1486.site.4
-A-	---	A	23	G	2	515620.4.peg.1486.site.5
-A-	---	A	24	G	1	515620.4.peg.1486.site.6
-A-	---	A	2	G	23	515620.4.peg.1486.site.7
-A-	---	A	19	G	6	515620.4.peg.1486.site.8
-A-	---	A	13	G	12	515620.4.peg.1486.site.9
-A-	---	A	24	G	1	515620.4.peg.524.site.1
-A-	---	A	21	G	4	515620.4.peg.524.site.2
-A-	---	A	25	G	0	515620.4.peg.524.site.3
-A-	---	A	24	G	1	515620.4.peg.524.site.4
-A-	---	A	20	G	5	515620.4.peg.524.site.5
-A-	---	A	2	G	23	515620.4.peg.524.site.6
-A-	---	A	24	G	1	515620.4.peg.524.site.7
-A-	---	A	24	G	1	515620.4.peg.524.site.8
-A-	---	A	24	G	1	515620.4.peg.524.site.9
-A-	---	A	24	G	1	515620.4.peg.524.site.10
-A-	---	A	23	G	2	515620.4.peg.524.site.11
-A-	---	A	21	G	4	515620.4.peg.524.site.12
-A-	---	A	19	G	6	515620.4.peg.524.site.13
-A-	---	A	17	G	8	515620.4.peg.524.site.14
-A-	---	A	25	G	0	515620.4.peg.524.site.15
-A-	---	A	24	G	1	515620.4.peg.524.site.16
-A-	---	A	24	G	1	515620.4.peg.524.site.17
-A-	---	A	24	G	1	515620.4.peg.524.site.18
-A-	---	A	25	G	0	515620.4.peg.524.site.19
-A-	---	A	22	G	3	515620.4.peg.525.site.1
-A-	---	A	23	G	2	515620.4.peg.525.site.2
-A-	---	A	6	G	19	515620.4.peg.525.site.3
-A-	---	A	22	G	1	515620.4.peg.525.site.4
-A-	---	A	22	G	2	515620.4.peg.525.site.5
-A-	---	A	23	G	1	515620.4.peg.525.site.6
-A-	---	A	0	G	24	515620.4.peg.525.site.7
-A-	---	A	22	G	3	515620.4.peg.526.site.1
-A-	---	A	21	G	4	515620.4.peg.527.site.1
-A-	---	A	21	G	4	515620.4.peg.527.site.2
-A-	---	A	24	G	1	515620.4.peg.527.site.3
-A-	---	A	23	G	2	515620.4.peg.527.site.4
-A-	---	A	24	G	1	515620.4.peg.527.site.5
-A-	---	A	22	G	3	515620.4.peg.527.site.6
-A-	---	A	18	G	7	515620.4.peg.527.site.7
-A-	---	A	4	G	3	515620.4.peg.2337.site.1
-A-	---	A	17	G	7	515620.4.peg.2337.site.2
-A-	---	A	0	G	19	515620.4.peg.2337.site.3
-A-	---	A	19	G	2	515620.4.peg.2337.site.4
-A-	---	A	0	G	21	515620.4.peg.2337.site.5
