X,Y,Z
0.0002,500.0,-622.1184000257335
0.0002,375.01995,-622.1222275748432
0.0002,250.0399,-622.1294763443711
0.0002,125.05984999999998,-622.1492604179402
0.0002,0.07980000000000001,-623.6407121367665
0.0201,500.0,-492.28741504237587
0.0201,375.01995,-492.5862788765917
0.0201,250.0399,-493.15094174065416
0.0201,125.05984999999998,-494.6882862701086
0.0201,0.07980000000000001,-615.0475039982393
0.04,500.0,-399.4743193116592
0.04,375.01995,-399.9696053816897
0.04,250.0399,-400.90311293550803
0.04,125.05984999999998,-403.43846334541377
0.04,0.07980000000000001,-608.0468524315474
0.0599,500.0,-325.488325054851
0.0599,375.01995,-326.1278898147875
0.0599,250.0399,-327.3304072182855
0.0599,125.05984999999998,-330.5889756363176
0.0599,0.07980000000000001,-601.8971301847287
0.07980000000000001,500.0,-263.15056182138414
0.07980000000000001,375.01995,-263.89651945843525
0.07980000000000001,250.0399,-265.2957706091802
0.07980000000000001,125.05984999999998,-269.080182672541
0.07980000000000001,0.07980000000000001,-596.2236592705467
