Host A, Host B, Paired Pi
0, 1, 0.0276463463097
0, 2, 0.0276635309205
0, 3, 0.0274275225642
0, 4, 0.0275827597733
0, 5, 0.0251325228144
0, 6, 0.0286096954138
0, 7, 0.0286997251663
0, 8, 0.0276356453614
0, 9, 0.0281728044491
0, 10, 0.0275073631009
0, 11, 0.0304617857709
0, 12, 0.027804104418
0, 13, 0.0276143217475
0, 14, 0.0311927198082
0, 15, 0.0265007773477
0, 16, 0.0275555212619
0, 17, 0.0312774633895
0, 18, 0.027914095175
0, 19, 0.0279020655156
0, 20, 0.0276867474189
0, 21, 0.0276475430938
0, 22, 0.0269483421732
0, 23, 0.0276638621293
0, 24, 0.0276932468334
0, 25, 0.0283492209002
0, 26, 0.0284492454435
0, 27, 0.0322346494105
0, 28, 0.0277017679853
0, 29, 0.0277182951316
0, 30, 0.027339992455
0, 31, 0.0293527395915
0, 32, 0.0275988454679
0, 33, 0.0275288900933
0, 34, 0.0281605197936
0, 35, 0.0276426768051
0, 36, 0.0276910337763
0, 37, 0.0271994788533
0, 38, 0.0276407695997
0, 39, 0.0276859755332
0, 40, 0.0277828733222
0, 41, 0.027677406392
0, 42, 0.0274466331186
0, 43, 0.0273954686139
0, 44, 0.0271121794865
0, 45, 0.0276327909674
0, 46, 0.027344315849
0, 47, 0.0276094854924
0, 48, 0.0276984665297
0, 49, 0.0274251500424
0, 50, 0.0222174590638
0, 51, 0.0224802094216
0, 52, 0.0276895253977
0, 53, 0.027621827527
0, 54, 0.0277282805716
0, 55, 0.0323414409115
0, 56, 0.0284304940478
0, 57, 0.02771933185
0, 58, 0.0276952942303
0, 59, 0.027686516128
0, 60, 0.0275597880015
0, 61, 0.0286597251163
0, 62, 0.027754274828
0, 63, 0.0278085322477
0, 64, 0.0270279521732
0, 65, 0.0270099329059
0, 66, 0.0285938169212
0, 67, 0.0279352570969
0, 68, 0.0271538762668
0, 69, 0.0278329883147
0, 70, 0.0267367286859
0, 71, 0.0276749572101
0, 72, 0.0276495936176
0, 73, 0.027636952855
0, 74, 0.0256656889452
0, 75, 0.0276838649898
0, 76, 0.027500400539
0, 77, 0.027706198326
0, 78, 0.0276680394625
0, 79, 0.0274971984378
0, 80, 0.0315655654378
0, 81, 0.0276632081087
0, 82, 0.0275221227417
0, 83, 0.0287643911592
0, 84, 0.0276295875892
0, 85, 0.0265533337354
0, 86, 0.0285637886788
0, 87, 0.0276855073913
0, 88, 0.0283916516227
0, 89, 0.0269325645734
