Recombination percentile,Remaining sites
0.0,673974
0.01,673707
0.02,673002
0.03,666591
0.04,662704
0.05,658489
0.06,649447
0.07,644635
0.08,638077
0.09,631705
0.1,624705
0.11,620920
0.12,620920
0.13,603448
0.14,593928
0.15,593928
0.16,579644
0.17,579644
0.18,560029
0.19,560029
0.2,560029
0.21,556018
0.22,546977
0.23,539692
0.24,526638
0.25,526638
0.26,518920
0.27,514003
0.28,507174
0.29,507174
0.3,502615
0.31,497602
0.32,490895
0.33,480930
0.34,480930
0.35000000000000003,473752
0.36,460186
0.37,460186
0.38,451644
0.39,440795
0.4,440795
0.41000000000000003,429810
0.42,429810
0.43,419503
0.44,409934
0.45,406216
0.46,397971
0.47000000000000003,394041
0.48,390847
0.49,380830
0.5,380830
0.51,366848
0.52,380830
0.53,350148
0.54,350148
0.55,340424
0.56,340424
0.5700000000000001,323867
0.58,323867
0.59,316409
0.6,299774
0.61,299774
0.62,290695
0.63,276920
0.64,269509
0.65,263530
0.66,263530
0.67,248891
0.68,241694
0.6900000000000001,234329
0.7000000000000001,223475
0.71,223475
0.72,217133
0.73,210433
0.74,208098
0.75,194106
0.76,186341
0.77,186341
0.78,175187
0.79,161489
0.8,172573
0.81,149823
0.8200000000000001,141988
0.8300000000000001,130802
0.84,124723
0.85,117773
0.86,110200
0.87,106911
0.88,98040
0.89,86684
0.9,76567
0.91,68424
0.92,68295
0.93,61630
0.9400000000000001,55192
0.9500000000000001,55192
0.96,37414
0.97,29602
0.98,17550
0.99,7192
1.0,0
