,X,Y,Z,-40.53099688
0,5.93661335,0.00037568,-144.0452046,
1,5.93661335,0.000976164,-141.0541802,
2,5.93661335,0.001576649,-138.1250741,
3,5.93661335,0.002177133,-135.2575234,
4,5.93661335,0.002777618,-132.4506672,
5,5.93661335,0.003378102,-129.703592,
6,5.93661335,0.003978587,-127.0153829,
7,5.93661335,0.004579071,-124.385135,
8,5.93661335,0.005179556,-121.8119567,
9,5.93661335,0.00578004,-119.2949707,
10,5.93661335,0.006380525,-116.8333146,
11,5.93661335,0.006981009,-114.426141,
12,5.93661335,0.007581494,-112.0726168,
13,5.93661335,0.008181978,-109.7719235,
14,5.93661335,0.008782463,-107.5232567,
15,5.93661335,0.009382947,-105.3258261,
16,5.93661335,0.009983432,-103.1788547,
17,5.93661335,0.010583916,-101.0815793,
18,5.93661335,0.011184401,-99.03324938,
19,5.93661335,0.011784885,-97.03312765,
20,5.93661335,0.01238537,-95.08048921,
21,5.93661335,0.012985854,-93.17462154,
22,5.93661335,0.013586339,-91.31482422,
23,5.93661335,0.014186823,-89.50040868,
24,5.93661335,0.014787308,-87.73069796,
25,5.93661335,0.015387792,-86.00502649,
26,5.93661335,0.015988277,-84.32273984,
27,5.93661335,0.016588761,-82.68319452,
28,5.93661335,0.017189246,-81.08575777,
29,5.93661335,0.01778973,-79.52980731,
30,5.93661335,0.018390215,-78.01473119,
31,5.93661335,0.018990699,-76.53992752,
32,5.93661335,0.019591184,-75.10480434,
33,5.93661335,0.020191668,-73.70877939,
34,5.93661335,0.020792153,-72.35127992,
35,5.93661335,0.021392637,-71.03174252,
36,5.93661335,0.021993122,-69.74961293,
37,5.93661335,0.022593606,-68.50434588,
38,5.93661335,0.023194091,-67.2954049,
39,5.93661335,0.023794575,-66.11500372,
40,5.93661335,0.02439506,-64.88901735,
41,5.93661335,0.024995544,-63.70235575,
42,5.93661335,0.025596029,-62.55441642,
43,5.93661335,0.026196513,-61.44459996,
44,5.93661335,0.026796998,-60.37231695,
45,5.93661335,0.027397482,-59.33698803,
46,5.93661335,0.027997967,-58.33804368,
47,5.93661335,0.028598451,-57.37492412,
48,5.93661335,0.029198936,-56.44707904,
49,5.93661335,0.02979942,-55.55396748,
50,5.93661335,0.030399905,-54.69505758,
51,5.93661335,0.031000389,-53.86982647,
52,5.93661335,0.031600874,-53.07776,
53,5.93661335,0.032201358,-52.31835267,
54,5.93661335,0.032801843,-51.59110738,
55,5.93661335,0.033402327,-50.8955353,
56,5.93661335,0.034002812,-50.23115569,
57,5.93661335,0.034603296,-49.59749578,
58,5.93661335,0.035203781,-48.99409057,
59,5.93661335,0.035804265,-48.42048268,
60,5.93661335,0.03640475,-47.87622225,
61,5.93661335,0.037005234,-47.36086675,
62,5.93661335,0.037605719,-46.87398084,
63,5.93661335,0.038206203,-46.41513627,
64,5.93661335,0.038806688,-45.98391171,
65,5.93661335,0.039407172,-45.57989262,
66,5.93661335,0.040007657,-45.20267114,
67,5.93661335,0.040608141,-44.85184596,
68,5.93661335,0.041208626,-44.52702216,
69,5.93661335,0.04180911,-44.22781116,
70,5.93661335,0.042409595,-43.95383054,
71,5.93661335,0.043010079,-43.70470395,
72,5.93661335,0.043610564,-43.480061,
73,5.93661335,0.044211048,-43.27953713,
74,5.93661335,0.044811533,-43.10277353,
75,5.93661335,0.045412017,-42.94941701,
76,5.93661335,0.046012502,-42.81911993,
77,5.93661335,0.046612986,-42.71154005,
78,5.93661335,0.047213471,-42.62634047,
79,5.93661335,0.047813955,-42.55206376,
80,5.93661335,0.04841444,-42.49201438,
81,5.93661335,0.049014924,-42.45616046,
82,5.93661335,0.049615409,-42.44411841,
83,5.93661335,0.050215893,-42.45551103,
84,5.93661335,0.050816378,-42.48996743,
85,5.93661335,0.051416862,-42.54712287,
86,5.93661335,0.052017347,-42.62661864,
87,5.93661335,0.052617831,-42.72810195,
88,5.93661335,0.053218316,-42.85122584,
89,5.93661335,0.0538188,-42.99564902,
90,5.93661335,0.054419285,-43.1610358,
91,5.93661335,0.055019769,-43.34705598,
92,5.93661335,0.055620254,-43.5533847,
93,5.93661335,0.056220738,-43.7797024,
94,5.93661335,0.056821223,-44.02569468,
95,5.93661335,0.057421707,-44.29105223,
96,5.93661335,0.058022192,-44.5754707,
97,5.93661335,0.058622676,-44.87865063,
98,5.93661335,0.059223161,-45.20029736,
99,5.93661335,0.059823645,-45.54012093,
100,5.93661335,0.06042413,-45.897836,
101,5.93661335,0.061024614,-46.27316175,
102,5.93661335,0.061625099,-46.66582183,
103,5.93661335,0.062225583,-47.07554424,
104,5.93661335,0.062826068,-47.50206126,
105,5.93661335,0.063426552,-47.94510939,
106,5.93661335,0.064027037,-48.40442926,
107,5.93661335,0.064627521,-48.87976555,
108,5.93661335,0.065228006,-49.37086692,
109,5.93661335,0.06582849,-49.87748596,
110,5.93661335,0.066428975,-50.39937906,
111,5.93661335,0.067029459,-50.93630642,
112,5.93661335,0.067629944,-51.48803193,
113,5.93661335,0.068230428,-52.05432311,
114,5.93661335,0.068830913,-52.63495106,
115,5.93661335,0.069431397,-53.22969038,
116,5.93661335,0.070031882,-53.83831914,
117,5.93661335,0.070632366,-54.46061877,
