file_id	md5	size	urls	sample_id
596fc2de57601ec08a01fdee59db3706	231f7c7d92adf31d0b1dc535d28a8774	1502784852	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS063287.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS063287.tar.bz2	faab18e1a137731cffda882560c29c89
596fc2de57601ec08a01fdee59a93fe3	68f01e32e2c898d500c87c64586a208b	3964677	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS020222.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS020222.scaffolds.fa.bz2	faab18e1a137731cffda88256060799b
596fc2de57601ec08a01fdee59c96341	5e15b7247ba76a26d2ef959cbd0c25d5	426285456	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS020222.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS020222.tar.bz2	faab18e1a137731cffda88256060799b
596fc2de57601ec08a01fdee59cecea6	0f6a4ffd33702d25d6ce85f71971b989	275426207	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS024557.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS024557.tar.bz2	faab18e1a137731cffda882560857303
596fc2de57601ec08a01fdee59ad191b	0f6a4ffd33702d25d6ce85f71971b989	1902882	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS024557.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS024557.scaffolds.fa.bz2	faab18e1a137731cffda882560857303
596fc2de57601ec08a01fdee59bc9a22	6bbd3e78dac88e6b1a9ab3d40e31ff17	506019241	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS015921.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS015921.tar.bz2	faab18e1a137731cffda8825603844c8
596fc2de57601ec08a01fdee59a2063c	6bbd3e78dac88e6b1a9ab3d40e31ff17	5646825	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS015921.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS015921.scaffolds.fa.bz2	faab18e1a137731cffda8825603844c8
596fc2de57601ec08a01fdee59a1f2f4	666488fdaf36816822d1d950b49b9f6b	4884320	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS015895.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS015895.scaffolds.fa.bz2	faab18e1a137731cffda8825603844c8
596fc2de57601ec08a01fdee59bc7c71	666488fdaf36816822d1d950b49b9f6b	539236940	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v2/SRS015895.tar.bz2,s3://nih-hmp-hhs/hmwgsqc2/SRS015895.tar.bz2	faab18e1a137731cffda8825603844c8
596fc2de57601ec08a01fdee59acad93	6a37bdaa00b1806ac7322ea61e399d12	2060867	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmwgsqc/v1/SRS024377.tar.bz2,s3://nih-hmp-hhs/hmasm/SRS024377.scaffolds.fa.bz2	faab18e1a137731cffda88256083663d
