"species_id","midas_number"
"Anaerovibrio_lipolyticus_60416","60416"
"Bacillus_bogoriensis_60417","60417"
"Akkermansia_muciniphila_55290","55290"
"Moorella_thermoacetica_55298","55298"
"Marine_actinobacterium_61178","61178"
"Janibacter_sp_61179","61179"
"Tepidimonas_taiwanensis_61170","61170"
"Coprothermobacter_proteolyticus_61171","61171"
"Dictyoglomus_thermophilum_61172","61172"
"Thermomicrobium_roseum_61173","61173"
"Salinibacter_ruber_61174","61174"
"Endozoicomonas_elysicola_48897","48897"
"Agrobacterium_vitis_61176","61176"
"Polynucleobacter_necessarius_61177","61177"
"Borrelia_burgdorferi_56121","56121"
"Butyrivibrio_sp_56129","56129"
"Treponema_pedis_56128","56128"
"Finegoldia_magna_57293","57293"
"Salinispora_pacifica_57294","57294"
"Leptospira_kirschneri_57296","57296"
"Dickeya_zeae_57297","57297"
"Clostridium_clostridioforme_51842","51842"
"Cupriavidus_taiwanensis_55834","55834"
"Variovorax_paradoxus_55839","55839"
"Eubacteriaceae_bacterium_57478","57478"
"Micromonospora_purpureochromogenes_57479","57479"
"Fusobacterium_necrophorum_57474","57474"
"Actinomyces_odontolyticus_57475","57475"
"Streptosporangium_roseum_57476","57476"
"Campylobacter_fetus_53737","53737"
"Sulfobacillus_acidophilus_46797","46797"
"WWE1_bacterium_45113","45113"
"OP8_bacterium_45114","45114"
"NKB19_bacterium_45115","45115"
"Chlamydia_psittaci_45116","45116"
"Prevotella_melaninogenica_58075","58075"
"Oribacterium_sp_58077","58077"
"Geobacter_bremensis_58071","58071"
"Azospirillum_brasilense_58073","58073"
"Rhodococcus_erythropolis_58072","58072"
"Arhodomonas_aquaeolei_58707","58707"
"Arenimonas_donghaensis_58706","58706"
"Bradyrhizobium_elkanii_58218","58218"
"Serratia_liquefaciens_58210","58210"
"Helicobacter_bilis_58212","58212"
"Myroides_odoratimimus_58215","58215"
"Rhodococcus_opacus_58217","58217"
"Helicobacter_pylori_58216","58216"
"Acaryochloris_sp_61175","61175"
"Burkholderia_pseudomallei_54177","54177"
"Streptomyces_mutabilis_62089","62089"
"Pseudomonas_syringae_62088","62088"
"Methylomirabilis_oxyfera_62085","62085"
"Oceanithermus_profundus_62084","62084"
"Streptomyces_griseus_62087","62087"
"Streptomyces_albus_62086","62086"
"Streptomyces_catenulae_62081","62081"
"Streptomyces_atroolivaceus_62080","62080"
"Hyphomicrobium_denitrificans_62083","62083"
"Microvirga_aerilata_62082","62082"
"Pseudomonas_fluorescens_61155","61155"
"Saccharospirillum_impatiens_59038","59038"
"Salinarimonas_rosea_59039","59039"
"Rudaea_cellulosilytica_59032","59032"
"Ruminococcus_gauvreauii_59033","59033"
"Rubritalea_marina_59030","59030"
"Rubritepida_flocculans_59031","59031"
"Saccharibacillus_kuerlensis_59036","59036"
"Saccharibacter_floricola_59037","59037"
"Runella_limosa_59034","59034"
"Runella_zeae_59035","59035"
"Enterobacter_hormaechei_50416","50416"
"Serratia_symbiotica_55338","55338"
"Thioalkalivibrio_sp_55622","55622"
"Streptomyces_viridosporus_52813","52813"
"Bordetella_trematum_52818","52818"
"Tateyamaria_sp_60902","60902"
"Halocynthiibacter_sp_60903","60903"
"Ruegeria_sp_60900","60900"
"Ruegeria_sp_60901","60901"
"Sphaerochaeta_pleomorpha_60906","60906"
"Sporosarcina_sp_60907","60907"
"Shewanella_sp_60904","60904"
"Sphaerochaeta_globosa_60905","60905"
"Clostridiaceae_bacterium_60908","60908"
"Rhodococcus_sp_60909","60909"
"Bradyrhizobium_sp_61233","61233"
"Paracoccus_denitrificans_61232","61232"
"Clostridium_sulfidigenes_61231","61231"
"Mycobacterium_rufum_61230","61230"
"Clavibacter_michiganensis_61237","61237"
"Nonlabens_sediminis_61236","61236"
"Chlorobium_luteolum_61235","61235"
"Bradyrhizobium_sp_61234","61234"
"Campylobacter_sputorum_61239","61239"
"Deinococcus_geothermalis_61238","61238"
"Amycolatopsis_azurea_59733","59733"
"Psychromonas_ossibalaenae_59884","59884"
"Fusobacterium_russii_59883","59883"
"Acholeplasma_granularum_59882","59882"
"Acinetobacter_brisouii_43461","43461"
"Elizabethkingia_meningoseptica_43467","43467"
"Actinomyces_slackii_59880","59880"
"Lactobacillus_brevis_56823","56823"
"Sutterella_wadsworthensis_56828","56828"
"Fusobacterium_nucleatum_56829","56829"
"Propionibacterium_granulosum_57661","57661"
"Acinetobacter_baumannii_57660","57660"
"Lactobacillus_johnsonii_57663","57663"
"Liberibacter_americanus_57665","57665"
"Clostridium_botulinum_57664","57664"
"Borrelia_parkeri_57667","57667"
"Campylobacter_jejuni_57666","57666"
"Acinetobacter_baumannii_57668","57668"
"Lactobacillus_jensenii_51108","51108"
"Flammeovirga_pacifica_62508","62508"
"Pseudomonas_sp_62509","62509"
"Fluoribacter_dumoffii_52104","52104"
"Pseudomonas_sp_62500","62500"
"Pseudomonas_sp_62501","62501"
"Pseudomonas_sp_62502","62502"
"Lysobacter_arseniciresistens_62503","62503"
"Actinobacterium_SCGC_62504","62504"
"Campylobacter_hyointestinalis_62505","62505"
"Desulfosporosinus_sp_62506","62506"
"Synechococcus_sp_62507","62507"
"Bradyrhizobium_sp_60018","60018"
"Flavobacterium_sp_60019","60019"
"Marmoricola_sp_60014","60014"
"Mycobacterium_sp_60015","60015"
"Alteromonas_sp_60016","60016"
"Bacillus_sp_60017","60017"
"Mesorhizobium_sp_60010","60010"
"Microbacterium_sp_60011","60011"
"Lysobacter_sp_60012","60012"
"Caulobacter_sp_60013","60013"
"Deinococcus_radiodurans_45653","45653"
"Rickettsia_typhi_45301","45301"
"Campylobacter_coli_57081","57081"
"Burkholderia_ambifaria_57080","57080"
"Stenotrophomonas_maltophilia_57083","57083"
"Cronobacter_sakazakii_57088","57088"
"Gamma_proteobacterium_59629","59629"
"Gamma_proteobacterium_59628","59628"
"Sphingobacterium_sp_59627","59627"
"Alpha_proteobacterium_59626","59626"
"Actinobacterium_LLX17_59625","59625"
"Leptolyngbya_sp_59624","59624"
"Cyanobacterium_endosymbiont_59623","59623"
"Hymenobacter_sp_59622","59622"
"Viridibacillus_arenosi_59621","59621"
"Paenibacillus_sp_59620","59620"
"Streptococcus_suis_57885","57885"
"Leptospira_noguchii_57887","57887"
"Bartonella_vinsonii_53507","53507"
"Leuconostoc_gelidum_53501","53501"
"Streptococcus_suis_57883","57883"
"Helicobacter_pylori_58282","58282"
"Selenomonas_ruminantium_58283","58283"
"Neisseria_weaveri_56837","56837"
"Psychrobacter_cryohalolentis_58280","58280"
"Mobiluncus_curtisii_58281","58281"
"Alistipes_onderdonkii_55464","55464"
"Wolbachia_endosymbiont_58286","58286"
"Enterobacter_cloacae_58287","58287"
"Helicobacter_pylori_59959","59959"
"Helicobacter_pylori_59958","59958"
"Celeribacter_baekdonensis_59489","59489"
"Marinomonas_sp_59488","59488"
"Streptococcus_suis_58284","58284"
"Paenibacillus_alvei_59483","59483"
"Desulfovibrio_magneticus_59482","59482"
"Nocardia_transvalensis_59481","59481"
"Eubacterium_acidaminophilum_59952","59952"
"Gordonia_namibiensis_59487","59487"
"Oceanibaculum_indicum_59486","59486"
"Hyphomonas_sp_59485","59485"
"Sphingobium_sp_59484","59484"
"Streptomyces_aureocirculatus_33757","33757"
"Streptomyces_baarnensis_54275","54275"
"Algoriphagus_vanfongensis_58686","58686"
"Aliagarivorans_marinus_58687","58687"
"Algoriphagus_marincola_58684","58684"
"Algoriphagus_terrigena_58685","58685"
"Algicola_sagamiensis_58682","58682"
"Algoriphagus_mannitolivorans_58683","58683"
"Agromyces_italicus_58680","58680"
"Agromyces_subbeticus_58681","58681"
"Aliagarivorans_taiwanensis_58688","58688"
"Alicyclobacillus_contaminans_58689","58689"
"Rhodovibrio_salinarum_58538","58538"
"Thermacetogenium_phaeum_58539","58539"
"Thermicanus_aegyptius_58534","58534"
"Haloglycomyces_albus_58535","58535"
"Salisaeta_longa_58536","58536"
"Geminicoccus_roseus_58537","58537"
"Amycolatopsis_benzoatilytica_58530","58530"
"Amycolatopsis_balhimycina_58531","58531"
"Actinopolyspora_halophila_58532","58532"
"Rudanella_lutea_58533","58533"
"Kiloniella_laminariae_58896","58896"
"Peptoniphilus_sp_55103","55103"
"Mannheimia_haemolytica_55106","55106"
"Leuconostoc_sp_62637","62637"
"Clostridium_sp_62634","62634"
"Cohnella_panacarvi_62635","62635"
"Lactobacillus_sp_62632","62632"
"Pseudomonas_stutzeri_61602","61602"
"Clostridium_sp_62633","62633"
"Desulfococcus_oleovorans_62630","62630"
"Microbacterium_sp_62631","62631"
"Streptomyces_lydicus_61603","61603"
"Ishikawaella_capsulata_61600","61600"
"Salinispora_arenicola_57470","57470"
"Clostridium_hiranonis_61655","61655"
"Xylanibacter_oryzae_62511","62511"
"Clostridium_nexile_61654","61654"
"Providencia_rustigianii_61657","61657"
"Mitsuokella_multacida_61656","61656"
"Halorhodospira_halophila_61303","61303"
"Heliobacterium_modesticaldum_61650","61650"
"Streptomyces_avicenniae_61653","61653"
"Corynebacterium_ulcerans_56105","56105"
"Geobacter_pickeringii_61300","61300"
"Arthrobacter_nicotinovorans_56451","56451"
"Opitutaceae_bacterium_56450","56450"
"Porphyromonas_gingivalis_56101","56101"
"Pseudomonas_parafulva_56100","56100"
"Staphylococcus_haemolyticus_57278","57278"
"Anoxybacillus_ayderensis_57275","57275"
"Actinobacillus_pleuropneumoniae_57270","57270"
"Hamiltonella_defensa_57271","57271"
"Modestobacter_marinus_61604","61604"
"Clostridium_sp_57418","57418"
"Mesorhizobium_sp_57412","57412"
"Acidithiobacillus_ferrivorans_57413","57413"
"Deinococcus_ficus_57410","57410"
"Pseudomonas_stutzeri_57416","57416"
"Afipia_sp_42814","42814"
"Staphylococcus_warneri_58053","58053"
"Anaerococcus_obesiensis_58051","58051"
"Sinorhizobium_meliloti_58050","58050"
"Paenibacillus_polymyxa_58056","58056"
"Clostridium_sp_60465","60465"
"Corynebacterium_sp_60464","60464"
"Nocardia_nova_60467","60467"
"Pelistega_sp_60466","60466"
"Tannerella_sp_60461","60461"
"Succinivibrio_dextrinosolvens_60460","60460"
"Gammaproteobacteria_bacterium_60463","60463"
"Rhizobiales_bacterium_60462","60462"
"Halomonas_sp_60469","60469"
"Pseudomonas_sp_60468","60468"
"Bacillus_amyloliquefaciens_53752","53752"
"Campylobacter_coli_58237","58237"
"Streptococcus_dysgalactiae_58236","58236"
"Prevotella_timonensis_58235","58235"
"Microbacterium_indicum_58946","58946"
"Acinetobacter_lwoffii_58233","58233"
"Melitea_salexigens_58940","58940"
"Metascardovia_criceti_58943","58943"
"Agrobacterium_tumefaciens_58230","58230"
"Moraxella_boevrei_58949","58949"
"Microvirgula_aerodenitrificans_58948","58948"
"Clostridium_scindens_58238","58238"
"Cardiobacterium_valvarum_62319","62319"
"Stomatobaculum_longum_62318","62318"
"Nesterenkonia_sp_62315","62315"
"Ralstonia_sp_62314","62314"
"Vibrio_caribbenthicus_62317","62317"
"Bacillus_methanolicus_62316","62316"
"Xanthobacter_autotrophicus_62311","62311"
"Fervidobacterium_pennivorans_62310","62310"
"Thermodesulfobacterium_geofontis_62313","62313"
"Sinorhizobium_sp_62312","62312"
