Recombination percentile,Remaining sites
0.0,208455
0.01,208455
0.02,208141
0.03,208141
0.04,207670
0.05,205623
0.06,205615
0.07,205615
0.08,205615
0.09,204332
0.1,204012
0.11,202101
0.12,199090
0.13,198647
0.14,195615
0.15,192331
0.16,189407
0.17,189407
0.18,185709
0.19,183536
0.2,182898
0.21,182466
0.22,177063
0.23,177063
0.24,174200
0.25,174200
0.26,174200
0.27,174200
0.28,164253
0.29,164253
0.3,161404
0.31,161404
0.32,161404
0.33,150149
0.34,150149
0.35000000000000003,150149
0.36,146613
0.37,146613
0.38,146613
0.39,138667
0.4,138667
0.41000000000000003,136463
0.42,136463
0.43,132323
0.44,132323
0.45,128135
0.46,128135
0.47000000000000003,123040
0.48,119642
0.49,117667
0.5,116718
0.51,116718
0.52,111023
0.53,111023
0.54,108232
0.55,108232
0.56,104289
0.5700000000000001,108232
0.58,97152
0.59,97152
0.6,95008
0.61,93041
0.62,84748
0.63,84166
0.64,82285
0.65,80073
0.66,78521
0.67,77723
0.68,73144
0.6900000000000001,71433
0.7000000000000001,68912
0.71,66667
0.72,64403
0.73,62444
0.74,61206
0.75,59860
0.76,59616
0.77,54846
0.78,51430
0.79,50218
0.8,46783
0.81,45359
0.8200000000000001,44707
0.8300000000000001,39854
0.84,39736
0.85,39091
0.86,35409
0.87,31231
0.88,29506
0.89,26606
0.9,26410
0.91,23310
0.92,19800
0.93,19571
0.9400000000000001,16133
0.9500000000000001,13468
0.96,11223
0.97,10289
0.98,6474
0.99,4154
1.0,0
