Recombination percentile,Remaining sites
0.0,2053361
0.01,2053361
0.02,2053361
0.03,2053361
0.04,2053361
0.05,2053361
0.06,2053361
0.07,2053361
0.08,1890282
0.09,1890282
0.1,1890282
0.11,1890282
0.12,1890282
0.13,1890282
0.14,1890282
0.15,1890282
0.16,1734794
0.17,1734794
0.18,1734794
0.19,1734794
0.2,1734794
0.21,1734794
0.22,1734794
0.23,1621566
0.24,1621566
0.25,1621566
0.26,1621566
0.27,1621566
0.28,1621566
0.29,1618339
0.3,1453208
0.31,1453208
0.32,1453208
0.33,1453208
0.34,1453208
0.35000000000000003,1453208
0.36,1453208
0.37,1453208
0.38,1453208
0.39,1224876
0.4,1224876
0.41000000000000003,1224876
0.42,1224876
0.43,1224876
0.44,1224876
0.45,1224876
0.46,1224876
0.47000000000000003,1224876
0.48,1058607
0.49,1221780
0.5,1058607
0.51,1221780
0.52,1058607
0.53,1058607
0.54,1221780
0.55,1221780
0.56,916447
0.5700000000000001,916447
0.58,916447
0.59,916447
0.6,916447
0.61,916447
0.62,762973
0.63,762973
0.64,762973
0.65,762973
0.66,762973
0.67,762973
0.68,762937
0.6900000000000001,648023
0.7000000000000001,648023
0.71,648023
0.72,648023
0.73,648023
0.74,538549
0.75,538549
0.76,538549
0.77,538549
0.78,463130
0.79,538413
0.8,463130
0.81,463130
0.8200000000000001,388965
0.8300000000000001,388965
0.84,388965
0.85,318580
0.86,318580
0.87,318580
0.88,268161
0.89,268161
0.9,210617
0.91,210617
0.92,210617
0.93,152870
0.9400000000000001,152870
0.9500000000000001,118783
0.96,83432
0.97,83432
0.98,51959
0.99,22014
1.0,0
