Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	38	G	1	411477.4.peg.1289.site.1
-A-	---	A	9	G	33	411477.4.peg.1289.site.2
-A-	---	A	37	G	1	411477.4.peg.1289.site.3
-A-	---	A	33	G	0	411477.4.peg.1286.site.1
-A-	---	A	33	G	1	411477.4.peg.1286.site.2
-A-	---	A	24	G	9	411477.4.peg.1286.site.3
-A-	---	A	27	G	3	411477.4.peg.1286.site.4
-A-	---	A	21	G	12	411477.4.peg.1286.site.5
-A-	---	A	25	G	5	411477.4.peg.1286.site.6
-A-	---	A	25	G	4	411477.4.peg.1286.site.7
-A-	---	A	25	G	10	411477.4.peg.1286.site.8
-A-	---	A	29	G	6	411477.4.peg.1286.site.9
-A-	---	A	36	G	4	411477.4.peg.1750.site.1
-A-	---	A	36	G	4	411477.4.peg.1750.site.2
-A-	---	A	40	G	0	411477.4.peg.1750.site.3
-A-	---	A	40	G	1	411477.4.peg.1750.site.4
-A-	---	A	40	G	1	411477.4.peg.1750.site.5
-A-	---	A	29	G	12	411477.4.peg.1750.site.6
-A-	---	A	40	G	1	411477.4.peg.1750.site.7
-A-	---	A	40	G	3	411477.4.peg.1750.site.8
-A-	---	A	40	G	3	411477.4.peg.1750.site.9
-A-	---	A	22	G	21	411477.4.peg.1750.site.10
-A-	---	A	42	G	1	411477.4.peg.1750.site.11
-A-	---	A	34	G	9	411477.4.peg.1750.site.12
-A-	---	A	32	G	11	411477.4.peg.1750.site.13
-A-	---	A	42	G	1	411477.4.peg.1750.site.14
-A-	---	A	39	G	4	411477.4.peg.1750.site.15
-A-	---	A	31	G	12	411477.4.peg.1750.site.16
-A-	---	A	42	G	1	411477.4.peg.1750.site.17
-A-	---	A	40	G	3	411477.4.peg.1750.site.18
-A-	---	A	41	G	2	411477.4.peg.1750.site.19
-A-	---	A	36	G	7	411477.4.peg.1750.site.20
-A-	---	A	41	G	2	411477.4.peg.1750.site.21
-A-	---	A	37	G	6	411477.4.peg.1750.site.22
-A-	---	A	42	G	1	411477.4.peg.1750.site.23
-A-	---	A	42	G	1	411477.4.peg.1750.site.24
-A-	---	A	36	G	7	411477.4.peg.1750.site.25
-A-	---	A	41	G	2	411477.4.peg.1750.site.26
-A-	---	A	41	G	2	411477.4.peg.1750.site.27
-A-	---	A	42	G	1	411477.4.peg.1750.site.28
-A-	---	A	42	G	1	411477.4.peg.1750.site.29
-A-	---	A	42	G	0	411477.4.peg.1750.site.30
-A-	---	A	42	G	1	411477.4.peg.1750.site.31
-A-	---	A	42	G	1	411477.4.peg.1750.site.32
-A-	---	A	42	G	1	411477.4.peg.1750.site.33
-A-	---	A	42	G	1	411477.4.peg.1750.site.34
-A-	---	A	32	G	11	411477.4.peg.1750.site.35
-A-	---	A	41	G	2	411477.4.peg.1751.site.1
-A-	---	A	39	G	2	411477.4.peg.1751.site.2
-A-	---	A	5	G	36	411477.4.peg.1751.site.3
-A-	---	A	39	G	2	411477.4.peg.1751.site.4
-A-	---	A	41	G	0	411477.4.peg.1751.site.5
-A-	---	A	42	G	1	411477.4.peg.1751.site.6
-A-	---	A	42	G	1	411477.4.peg.1751.site.7
-A-	---	A	41	G	2	411477.4.peg.1751.site.8
-A-	---	A	19	G	24	411477.4.peg.1751.site.9
-A-	---	A	42	G	1	411477.4.peg.1751.site.10
-A-	---	A	19	G	24	411477.4.peg.1751.site.11
-A-	---	A	31	G	12	411477.4.peg.1751.site.12
-A-	---	A	32	G	9	411477.4.peg.1754.site.1
-A-	---	A	39	G	4	411477.4.peg.1754.site.2
-A-	---	A	36	G	4	411477.4.peg.1754.site.3
-A-	---	A	40	G	1	411477.4.peg.1754.site.4
-A-	---	A	29	G	12	411477.4.peg.1754.site.5
-A-	---	A	40	G	1	411477.4.peg.1754.site.6
-A-	---	A	40	G	1	411477.4.peg.1754.site.7
-A-	---	A	35	G	2	411477.4.peg.1754.site.8
-A-	---	A	39	G	0	411477.4.peg.1754.site.9
-A-	---	A	38	G	1	411477.4.peg.1754.site.10
-A-	---	A	38	G	1	411477.4.peg.1754.site.11
-A-	---	A	41	G	2	411477.4.peg.1754.site.12
-A-	---	A	28	G	15	411477.4.peg.1754.site.13
-A-	---	A	41	G	2	411477.4.peg.1754.site.14
-A-	---	A	42	G	1	411477.4.peg.1757.site.1
-A-	---	A	43	G	0	411477.4.peg.1757.site.2
-A-	---	A	36	G	1	411477.4.peg.1757.site.3
-A-	---	A	35	G	4	411477.4.peg.1757.site.4
-A-	---	A	36	G	1	411477.4.peg.1757.site.5
-A-	---	A	41	G	1	411477.4.peg.1757.site.6
-A-	---	A	43	G	0	411477.4.peg.1757.site.7
-A-	---	A	43	G	0	411477.4.peg.1757.site.8
-A-	---	A	42	G	1	411477.4.peg.1757.site.9
-A-	---	A	42	G	1	411477.4.peg.1757.site.10
-A-	---	A	42	G	1	411477.4.peg.1757.site.11
-A-	---	A	43	G	0	411477.4.peg.1757.site.12
-A-	---	A	42	G	1	411477.4.peg.1757.site.13
-A-	---	A	37	G	6	411477.4.peg.1757.site.14
-A-	---	A	42	G	1	411477.4.peg.1757.site.15
-A-	---	A	42	G	1	411477.4.peg.1757.site.16
-A-	---	A	42	G	1	411477.4.peg.1757.site.17
-A-	---	A	37	G	6	411477.4.peg.1757.site.18
-A-	---	A	42	G	1	411477.4.peg.1757.site.19
-A-	---	A	42	G	1	411477.4.peg.1757.site.20
-A-	---	A	43	G	0	411477.4.peg.1757.site.21
-A-	---	A	42	G	1	411477.4.peg.1757.site.22
-A-	---	A	42	G	1	411477.4.peg.1757.site.23
-A-	---	A	41	G	2	411477.4.peg.1757.site.24
-A-	---	A	41	G	2	411477.4.peg.1757.site.25
-A-	---	A	35	G	8	411477.4.peg.1757.site.26
-A-	---	A	38	G	5	411477.4.peg.1757.site.27
-A-	---	A	40	G	3	411477.4.peg.1757.site.28
-A-	---	A	42	G	0	411477.4.peg.1757.site.29
-A-	---	A	43	G	0	411477.4.peg.1757.site.30
-A-	---	A	42	G	1	411477.4.peg.1758.site.1
-A-	---	A	14	G	29	411477.4.peg.1758.site.2
-A-	---	A	41	G	2	411477.4.peg.1758.site.3
-A-	---	A	20	G	23	411477.4.peg.1758.site.4
-A-	---	A	42	G	1	411477.4.peg.1758.site.5
-A-	---	A	42	G	1	411477.4.peg.1758.site.6
-A-	---	A	41	G	2	411477.4.peg.1758.site.7
-A-	---	A	39	G	4	411477.4.peg.1758.site.8
-A-	---	A	40	G	3	411477.4.peg.1758.site.9
-A-	---	A	30	G	9	411477.4.peg.1759.site.1
-A-	---	A	39	G	2	411477.4.peg.1759.site.2
-A-	---	A	31	G	0	411477.4.peg.1359.site.1
-A-	---	A	36	G	0	411477.4.peg.1359.site.2
-A-	---	A	23	G	20	411477.4.peg.1359.site.3
-A-	---	A	42	G	0	411477.4.peg.1359.site.4
-A-	---	A	43	G	0	411477.4.peg.1359.site.5
-A-	---	A	30	G	13	411477.4.peg.1359.site.6
-A-	---	A	41	G	2	411477.4.peg.1359.site.7
-A-	---	A	33	G	10	411477.4.peg.1359.site.8
-A-	---	A	43	G	0	411477.4.peg.1359.site.9
-A-	---	A	30	G	12	411477.4.peg.1359.site.10
-A-	---	A	38	G	5	411477.4.peg.1359.site.11
-A-	---	A	35	G	7	411477.4.peg.1359.site.12
-A-	---	A	36	G	6	411477.4.peg.1359.site.13
-A-	---	A	42	G	1	411477.4.peg.1359.site.14
-A-	---	A	42	G	1	411477.4.peg.1359.site.15
-A-	---	A	42	G	1	411477.4.peg.1359.site.16
-A-	---	A	33	G	10	411477.4.peg.1359.site.17
-A-	---	A	32	G	11	411477.4.peg.1359.site.18
-A-	---	A	42	G	0	411477.4.peg.1359.site.19
-A-	---	A	33	G	9	411477.4.peg.1359.site.20
-A-	---	A	30	G	12	411477.4.peg.1359.site.21
-A-	---	A	32	G	11	411477.4.peg.1359.site.22
-A-	---	A	29	G	14	411477.4.peg.1359.site.23
-A-	---	A	35	G	8	411477.4.peg.1359.site.24
-A-	---	A	39	G	4	411477.4.peg.1359.site.25
-A-	---	A	43	G	0	411477.4.peg.1359.site.26
-A-	---	A	42	G	1	411477.4.peg.1359.site.27
-A-	---	A	30	G	13	411477.4.peg.1359.site.28
-A-	---	A	23	G	20	411477.4.peg.1359.site.29
-A-	---	A	30	G	13	411477.4.peg.1359.site.30
-A-	---	A	25	G	18	411477.4.peg.1354.site.1
-A-	---	A	24	G	19	411477.4.peg.1354.site.2
-A-	---	A	25	G	18	411477.4.peg.1354.site.3
-A-	---	A	42	G	1	411477.4.peg.1354.site.4
-A-	---	A	42	G	1	411477.4.peg.3142.site.1
-A-	---	A	42	G	1	411477.4.peg.3142.site.2
-A-	---	A	42	G	1	411477.4.peg.3142.site.3
-A-	---	A	41	G	2	411477.4.peg.3142.site.4
-A-	---	A	42	G	1	411477.4.peg.2719.site.1
-A-	---	A	31	G	12	411477.4.peg.2719.site.2
-A-	---	A	42	G	1	411477.4.peg.2719.site.3
-A-	---	A	30	G	13	411477.4.peg.2719.site.4
-A-	---	A	41	G	2	411477.4.peg.2719.site.5
-A-	---	A	32	G	4	411477.4.peg.2719.site.6
-A-	---	A	29	G	7	411477.4.peg.2719.site.7
-A-	---	A	37	G	1	411477.4.peg.2719.site.8
-A-	---	A	38	G	0	411477.4.peg.2719.site.9
-A-	---	A	40	G	3	411477.4.peg.2718.site.1
-A-	---	A	43	G	0	411477.4.peg.2718.site.2
-A-	---	A	40	G	2	411477.4.peg.2718.site.3
-A-	---	A	35	G	8	411477.4.peg.2718.site.4
-A-	---	A	42	G	1	411477.4.peg.2718.site.5
-A-	---	A	41	G	1	411477.4.peg.2718.site.6
-A-	---	A	27	G	13	411477.4.peg.2718.site.7
-A-	---	A	43	G	0	411477.4.peg.2718.site.8
-A-	---	A	42	G	0	411477.4.peg.2718.site.9
-A-	---	A	41	G	1	411477.4.peg.2718.site.10
-A-	---	A	28	G	14	411477.4.peg.2718.site.11
-A-	---	A	11	G	31	411477.4.peg.2718.site.12
-A-	---	A	29	G	12	411477.4.peg.2718.site.13
-A-	---	A	8	G	33	411477.4.peg.2711.site.1
-A-	---	A	40	G	1	411477.4.peg.2711.site.2
-A-	---	A	39	G	1	411477.4.peg.2711.site.3
-A-	---	A	41	G	0	411477.4.peg.2711.site.4
-A-	---	A	40	G	1	411477.4.peg.2711.site.5
-A-	---	A	37	G	4	411477.4.peg.2711.site.6
-A-	---	A	16	G	25	411477.4.peg.2711.site.7
-A-	---	A	37	G	4	411477.4.peg.2711.site.8
-A-	---	A	39	G	1	411477.4.peg.2711.site.9
-A-	---	A	7	G	34	411477.4.peg.2711.site.10
-A-	---	A	20	G	21	411477.4.peg.2711.site.11
-A-	---	A	30	G	11	411477.4.peg.2710.site.1
-A-	---	A	31	G	10	411477.4.peg.2710.site.2
-A-	---	A	37	G	4	411477.4.peg.2710.site.3
-A-	---	A	41	G	0	411477.4.peg.2710.site.4
-A-	---	A	30	G	10	411477.4.peg.2713.site.1
-A-	---	A	29	G	8	411477.4.peg.2713.site.2
-A-	---	A	29	G	14	411477.4.peg.2713.site.3
-A-	---	A	23	G	16	411477.4.peg.2712.site.1
-A-	---	A	25	G	15	411477.4.peg.2712.site.2
-A-	---	A	41	G	0	411477.4.peg.2712.site.3
-A-	---	A	25	G	16	411477.4.peg.2712.site.4
-A-	---	A	30	G	11	411477.4.peg.2712.site.5
-A-	---	A	40	G	1	411477.4.peg.2712.site.6
-A-	---	A	31	G	10	411477.4.peg.2712.site.7
-A-	---	A	40	G	1	411477.4.peg.2712.site.8
-A-	---	A	37	G	3	411477.4.peg.2712.site.9
-A-	---	A	40	G	1	411477.4.peg.2712.site.10
-A-	---	A	41	G	0	411477.4.peg.2712.site.11
-A-	---	A	43	G	0	411477.4.peg.2715.site.1
-A-	---	A	42	G	1	411477.4.peg.2715.site.2
-A-	---	A	38	G	5	411477.4.peg.2715.site.3
-A-	---	A	34	G	9	411477.4.peg.2715.site.4
-A-	---	A	43	G	0	411477.4.peg.2715.site.5
-A-	---	A	42	G	1	411477.4.peg.2715.site.6
-A-	---	A	41	G	2	411477.4.peg.2715.site.7
-A-	---	A	42	G	0	411477.4.peg.2715.site.8
-A-	---	A	36	G	4	411477.4.peg.2715.site.9
-A-	---	A	23	G	15	411477.4.peg.2715.site.10
-A-	---	A	42	G	1	411477.4.peg.2715.site.11
-A-	---	A	42	G	1	411477.4.peg.2715.site.12
-A-	---	A	39	G	4	411477.4.peg.2715.site.13
-A-	---	A	42	G	1	411477.4.peg.2715.site.14
-A-	---	A	32	G	10	411477.4.peg.2714.site.1
-A-	---	A	42	G	1	411477.4.peg.2714.site.2
-A-	---	A	42	G	1	411477.4.peg.2714.site.3
-A-	---	A	21	G	16	411477.4.peg.2714.site.4
-A-	---	A	36	G	1	411477.4.peg.2714.site.5
-A-	---	A	31	G	6	411477.4.peg.2714.site.6
-A-	---	A	15	G	22	411477.4.peg.2714.site.7
-A-	---	A	31	G	6	411477.4.peg.2714.site.8
-A-	---	A	31	G	6	411477.4.peg.2714.site.9
-A-	---	A	37	G	1	411477.4.peg.2714.site.10
-A-	---	A	42	G	0	411477.4.peg.2714.site.11
-A-	---	A	34	G	1	411477.4.peg.2714.site.12
-A-	---	A	37	G	0	411477.4.peg.2714.site.13
-A-	---	A	39	G	1	411477.4.peg.2714.site.14
-A-	---	A	4	G	22	411477.4.peg.2714.site.15
-A-	---	A	21	G	8	411477.4.peg.2714.site.16
-A-	---	A	21	G	13	411477.4.peg.2714.site.17
-A-	---	A	42	G	1	411477.4.peg.2714.site.18
-A-	---	A	42	G	1	411477.4.peg.2714.site.19
