Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	249	G	0	445970.5.peg.1297.site.1
-A-	---	A	144	G	105	445970.5.peg.1297.site.2
-A-	---	A	249	G	0	445970.5.peg.1297.site.3
-A-	---	A	249	G	0	445970.5.peg.1297.site.4
-A-	---	A	249	G	0	445970.5.peg.1297.site.5
-A-	---	A	247	G	2	445970.5.peg.1297.site.6
-A-	---	A	99	G	149	445970.5.peg.1297.site.7
-A-	---	A	156	G	83	445970.5.peg.1297.site.8
-A-	---	A	248	G	1	445970.5.peg.1297.site.9
-A-	---	A	248	G	1	445970.5.peg.1297.site.10
-A-	---	A	249	G	0	445970.5.peg.1297.site.11
-A-	---	A	246	G	3	445970.5.peg.1297.site.12
-A-	---	A	249	G	0	445970.5.peg.1297.site.13
-A-	---	A	245	G	2	445970.5.peg.1296.site.1
-A-	---	A	246	G	1	445970.5.peg.1296.site.2
-A-	---	A	247	G	1	445970.5.peg.1296.site.3
-A-	---	A	248	G	1	445970.5.peg.1295.site.1
-A-	---	A	248	G	1	445970.5.peg.1295.site.2
-A-	---	A	248	G	1	445970.5.peg.1295.site.3
-A-	---	A	248	G	1	445970.5.peg.1295.site.4
-A-	---	A	246	G	1	445970.5.peg.1295.site.5
-A-	---	A	249	G	0	445970.5.peg.1295.site.6
-A-	---	A	249	G	0	445970.5.peg.1295.site.7
-A-	---	A	248	G	1	445970.5.peg.1295.site.8
-A-	---	A	246	G	3	445970.5.peg.1295.site.9
-A-	---	A	247	G	2	445970.5.peg.1294.site.1
-A-	---	A	244	G	5	445970.5.peg.1294.site.2
-A-	---	A	110	G	139	445970.5.peg.1294.site.3
-A-	---	A	248	G	1	445970.5.peg.1294.site.4
-A-	---	A	248	G	1	445970.5.peg.1294.site.5
-A-	---	A	248	G	1	445970.5.peg.1294.site.6
-A-	---	A	246	G	0	445970.5.peg.1294.site.7
-A-	---	A	247	G	0	445970.5.peg.1294.site.8
-A-	---	A	87	G	159	445970.5.peg.1294.site.9
-A-	---	A	249	G	0	445970.5.peg.1293.site.1
-A-	---	A	248	G	1	445970.5.peg.1293.site.2
-A-	---	A	246	G	3	445970.5.peg.1293.site.3
-A-	---	A	249	G	0	445970.5.peg.1293.site.4
-A-	---	A	241	G	4	445970.5.peg.1293.site.5
-A-	---	A	249	G	0	445970.5.peg.1292.site.1
-A-	---	A	163	G	86	445970.5.peg.1292.site.2
-A-	---	A	147	G	102	445970.5.peg.1292.site.3
-A-	---	A	232	G	17	445970.5.peg.1292.site.4
-A-	---	A	249	G	0	445970.5.peg.1292.site.5
-A-	---	A	240	G	7	445970.5.peg.1290.site.1
-A-	---	A	241	G	7	445970.5.peg.1290.site.2
-A-	---	A	125	G	124	445970.5.peg.1290.site.3
-A-	---	A	125	G	124	445970.5.peg.1290.site.4
-A-	---	A	246	G	3	445970.5.peg.1290.site.5
-A-	---	A	249	G	0	445970.5.peg.1290.site.6
-A-	---	A	245	G	3	445970.5.peg.1290.site.7
-A-	---	A	198	G	48	445970.5.peg.1290.site.8
-A-	---	A	239	G	9	445970.5.peg.1290.site.9
-A-	---	A	245	G	0	445970.5.peg.1290.site.10
-A-	---	A	219	G	0	445970.5.peg.1290.site.11
